Image,Cells µm^2
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B1.tif,1888.611111111111
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B2.tif,1902.7055555555555
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B3.tif,1424.8131944444444
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B1.tif,1719.8701388888887
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B2.tif,2054.4069444444444
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B3.tif,1575.8409722222225
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B1.tif,1750.959027777778
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B2.tif,1330.3659722222224
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B3.tif,1699.454861111111
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B1.tif,2215.79375
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B2.tif,1514.0194444444444
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B3.tif,1387.2701388888888
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_B1.tif,2102.874305555556
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_B2.tif,2301.391666666667
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_B3.tif,2055.8527777777776
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_B1.tif,1594.8770833333333
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_B2.tif,1176.5909722222225
A2780_20and30_IC50treated_Day10_250_TXR_Tile-5_B3.tif,2086.829166666667
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_B1.tif,2070.427083333333
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_B2.tif,2034.8944444444444
A2780_20and30_IC50treated_Day11_250_TXR_Tile-0_B3.tif,1486.6201388888887
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_B1.tif,1862.936805555556
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_B2.tif,1968.6819444444443
A2780_20and30_IC50treated_Day11_250_TXR_Tile-1_B3.tif,1568.236111111111
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_B1.tif,1937.9458333333332
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_B2.tif,1331.9284722222224
A2780_20and30_IC50treated_Day11_250_TXR_Tile-2_B3.tif,1694.7881944444443
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_B1.tif,2506.360416666667
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_B2.tif,1449.3097222222225
A2780_20and30_IC50treated_Day11_250_TXR_Tile-3_B3.tif,1437.9486111111112
