Image,Cells µm^2
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_A1.tif,1611.1583333333333
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_A2.tif,1527.0277777777778
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_A3.tif,1457.9409722222222
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B1.tif,1888.611111111111
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B2.tif,1902.7055555555555
A2780_20and30_IC50treated_Day10_250_TXR_Tile-0_B3.tif,1424.8131944444444
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_A1.tif,1268.6784722222224
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_A2.tif,1286.24375
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_A3.tif,1485.4597222222224
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B1.tif,1719.8701388888887
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B2.tif,2054.4069444444444
A2780_20and30_IC50treated_Day10_250_TXR_Tile-1_B3.tif,1575.8409722222225
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_A1.tif,2206.249305555556
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_A2.tif,2027.9777777777776
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_A3.tif,1319.6645833333334
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B1.tif,1750.959027777778
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B2.tif,1330.3659722222224
A2780_20and30_IC50treated_Day10_250_TXR_Tile-2_B3.tif,1699.454861111111
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_A1.tif,1205.11875
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_A2.tif,1604.7534722222222
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_A3.tif,916.1708333333332
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B1.tif,2215.79375
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B2.tif,1514.0194444444444
A2780_20and30_IC50treated_Day10_250_TXR_Tile-3_B3.tif,1387.2701388888888
A2780_20and30_IC50treated_Day10_250_TXR_Tile-4_A1.tif,2175.5270833333334
