Day,Well,mean_cells,n_tiles,channel_count
1,A1,20.06,6,1
1,B1,22.14,6,1
1,C1,19.85,6,1
2,A1,66.89,6,1
2,B1,68.17,6,1
2,C1,57.55,6,1
3,A1,167.52,6,1
3,B1,169.79,6,1
3,C1,168.15,6,1
4,A1,507.22,6,1
4,B1,467.12,6,1
4,C1,446.36,6,1
5,A1,1242.12,6,1
5,B1,1164.65,6,1
5,C1,1200.53,6,1
6,A1,944.75,6,1
6,B1,276.46,6,1
6,C1,1024.56,6,1
7,A1,1912.13,6,1
7,B1,1687.05,6,1
7,C1,1753.06,6,1
8,A1,2195.06,6,1
8,B1,1990.65,6,1
8,C1,2098.15,6,1
9,A1,2177.83,6,1
9,B1,2011.74,6,1
9,C1,2733.37,6,2
10,A1,2322.69,6,1
10,B1,2357.35,6,1
10,C1,2465.02,6,1
11,A1,2101.33,6,1
11,B1,2652.3,6,1
11,C1,2345.85,6,1
12,A1,2261.1,6,1
12,B1,2673.23,6,1
12,C1,2647.97,6,1
13,A1,2430.45,6,1
13,B1,3008.4,6,1
13,C1,3047.77,6,1
14,A1,2489.78,6,1
14,B1,2826.23,6,1
14,C1,3069.08,6,1
