Image,Cells
75-25_A2780_20and30_Day10_TX RED_Tile-0_A1.tif,1881.9256944444444
75-25_A2780_20and30_Day10_TX RED_Tile-0_B1.tif,2622.0041666666666
75-25_A2780_20and30_Day10_TX RED_Tile-0_C1.tif,2415.9319444444445
75-25_A2780_20and30_Day10_TX RED_Tile-1_A1.tif,2103.990277777777
75-25_A2780_20and30_Day10_TX RED_Tile-1_B1.tif,2701.99375
75-25_A2780_20and30_Day10_TX RED_Tile-1_C1.tif,1708.3034722222224
75-25_A2780_20and30_Day10_TX RED_Tile-2_A1.tif,2917.2361111111118
75-25_A2780_20and30_Day10_TX RED_Tile-2_B1.tif,2417.702777777778
75-25_A2780_20and30_Day10_TX RED_Tile-2_C1.tif,2619.320138888889
75-25_A2780_20and30_Day10_TX RED_Tile-3_A1.tif,1976.4819444444447
75-25_A2780_20and30_Day10_TX RED_Tile-3_B1.tif,1885.4006944444443
75-25_A2780_20and30_Day10_TX RED_Tile-3_C1.tif,2213.092361111111
75-25_A2780_20and30_Day10_TX RED_Tile-4_A1.tif,2556.921527777778
75-25_A2780_20and30_Day10_TX RED_Tile-4_B1.tif,2154.4083333333333
75-25_A2780_20and30_Day10_TX RED_Tile-4_C1.tif,2978.379861111111
75-25_A2780_20and30_Day10_TX RED_Tile-5_A1.tif,2499.561805555556
75-25_A2780_20and30_Day10_TX RED_Tile-5_B1.tif,2362.5631944444444
75-25_A2780_20and30_Day10_TX RED_Tile-5_C1.tif,2855.083333333333
75-25_A2780_20and30_Day11_TX RED_Tile-0_A1.tif,1877.9451388888888
75-25_A2780_20and30_Day11_TX RED_Tile-0_B1.tif,2481.3166666666666
75-25_A2780_20and30_Day11_TX RED_Tile-0_C1.tif,2489.559027777778
75-25_A2780_20and30_Day11_TX RED_Tile-1_A1.tif,1468.9069444444444
75-25_A2780_20and30_Day11_TX RED_Tile-1_B1.tif,2501.3256944444447
75-25_A2780_20and30_Day11_TX RED_Tile-1_C1.tif,1930.551388888889
75-25_A2780_20and30_Day11_TX RED_Tile-2_A1.tif,2979.746527777778
75-25_A2780_20and30_Day11_TX RED_Tile-2_B1.tif,2980.867361111111
75-25_A2780_20and30_Day11_TX RED_Tile-2_C1.tif,2390.5409722222225
75-25_A2780_20and30_Day11_TX RED_Tile-3_A1.tif,1824.375694444444
75-25_A2780_20and30_Day11_TX RED_Tile-3_B1.tif,2440.371527777778
75-25_A2780_20and30_Day11_TX RED_Tile-3_C1.tif,2135.5694444444443
75-25_A2780_20and30_Day11_TX RED_Tile-4_A1.tif,2006.0861111111112
75-25_A2780_20and30_Day11_TX RED_Tile-4_B1.tif,2942.5180555555557
75-25_A2780_20and30_Day11_TX RED_Tile-4_C1.tif,2860.677083333333
75-25_A2780_20and30_Day11_TX RED_Tile-5_A1.tif,2450.936111111111
75-25_A2780_20and30_Day11_TX RED_Tile-5_B1.tif,2567.4194444444447
75-25_A2780_20and30_Day11_TX RED_Tile-5_C1.tif,2268.1895833333333
75-25_A2780_20and30_Day12_TX RED_Tile-0_A1.tif,2188.4708333333333
75-25_A2780_20and30_Day12_TX RED_Tile-0_B1.tif,2405.015972222222
75-25_A2780_20and30_Day12_TX RED_Tile-0_C1.tif,2138.692361111111
75-25_A2780_20and30_Day12_TX RED_Tile-1_A1.tif,2168.335416666667
75-25_A2780_20and30_Day12_TX RED_Tile-1_B1.tif,2400.163888888889
75-25_A2780_20and30_Day12_TX RED_Tile-1_C1.tif,1608.6
75-25_A2780_20and30_Day12_TX RED_Tile-2_A1.tif,2998.679861111111
75-25_A2780_20and30_Day12_TX RED_Tile-2_B1.tif,3070.332638888889
75-25_A2780_20and30_Day12_TX RED_Tile-2_C1.tif,3213.623611111111
75-25_A2780_20and30_Day12_TX RED_Tile-3_A1.tif,2113.5368055555555
75-25_A2780_20and30_Day12_TX RED_Tile-3_B1.tif,2404.4395833333333
75-25_A2780_20and30_Day12_TX RED_Tile-3_C1.tif,2535.331944444444
