Day,Well,mean_cells,n_tiles,channel_count
1,A5,43.05,6,1
1,B5,34.69,6,1
1,C5,27.05,6,1
2,A5,74.35,6,1
2,B5,59.14,6,1
2,C5,44.71,6,1
3,A5,126.53,6,1
3,B5,112.93,6,1
3,C5,75.98,6,1
4,A5,251.91,6,1
4,B5,197.28,6,1
4,C5,205.63,6,1
5,A5,465.17,6,1
5,B5,390.12,6,1
5,C5,350.39,6,1
6,A5,401.15,6,1
6,B5,330.68,6,1
6,C5,313.37,6,1
7,A5,563.95,6,1
7,B5,554.06,6,1
7,C5,496.52,6,1
8,A5,825.26,6,1
8,B5,739.77,6,1
8,C5,679.72,6,1
9,A5,865.71,6,1
9,B5,735.05,6,1
9,C5,846.74,6,1
10,A5,675.93,6,1
10,B5,543.44,6,1
10,C5,598.38,6,1
11,A5,1052.19,6,1
11,B5,758.89,6,1
11,C5,904.8,6,1
12,A5,545.24,6,1
12,B5,461.39,6,1
12,C5,482.07,6,1
13,A5,802.96,6,1
13,B5,549.36,6,1
13,C5,682.65,6,1
14,A5,465.35,6,1
14,B5,380.96,6,1
14,C5,420.62,6,1
