Image,Cells
75-25_A2780_20and30_Day10_FITC_Tile-0_A4.tif,471.3798611111111
75-25_A2780_20and30_Day10_FITC_Tile-0_B4.tif,214.13888888888889
75-25_A2780_20and30_Day10_FITC_Tile-0_C4.tif,271.0138888888889
75-25_A2780_20and30_Day10_FITC_Tile-1_A4.tif,313.58958333333334
75-25_A2780_20and30_Day10_FITC_Tile-1_B4.tif,701.3923611111111
75-25_A2780_20and30_Day10_FITC_Tile-1_C4.tif,330.4534722222222
75-25_A2780_20and30_Day10_FITC_Tile-2_A4.tif,425.4736111111111
75-25_A2780_20and30_Day10_FITC_Tile-2_B4.tif,386.2006944444445
75-25_A2780_20and30_Day10_FITC_Tile-2_C4.tif,378.21875
75-25_A2780_20and30_Day10_FITC_Tile-3_A4.tif,431.3833333333333
75-25_A2780_20and30_Day10_FITC_Tile-3_B4.tif,253.43958333333336
75-25_A2780_20and30_Day10_FITC_Tile-3_C4.tif,368.55277777777775
75-25_A2780_20and30_Day10_FITC_Tile-4_A4.tif,334.02708333333334
75-25_A2780_20and30_Day10_FITC_Tile-4_B4.tif,338.52777777777777
75-25_A2780_20and30_Day10_FITC_Tile-4_C4.tif,357.98819444444445
75-25_A2780_20and30_Day10_FITC_Tile-5_A4.tif,246.44097222222223
75-25_A2780_20and30_Day10_FITC_Tile-5_B4.tif,410.3201388888889
75-25_A2780_20and30_Day10_FITC_Tile-5_C4.tif,298.38680555555555
75-25_A2780_20and30_Day11_FITC_Tile-0_A4.tif,743.5881944444444
75-25_A2780_20and30_Day11_FITC_Tile-0_B4.tif,225.8875
75-25_A2780_20and30_Day11_FITC_Tile-0_C4.tif,695.5493055555556
75-25_A2780_20and30_Day11_FITC_Tile-1_A4.tif,426.5104166666667
75-25_A2780_20and30_Day11_FITC_Tile-1_B4.tif,503.3909722222222
75-25_A2780_20and30_Day11_FITC_Tile-1_C4.tif,351.2319444444445
75-25_A2780_20and30_Day11_FITC_Tile-2_A4.tif,432.80277777777775
75-25_A2780_20and30_Day11_FITC_Tile-2_B4.tif,392.1666666666667
75-25_A2780_20and30_Day11_FITC_Tile-2_C4.tif,348.9868055555555
75-25_A2780_20and30_Day11_FITC_Tile-3_A4.tif,474.3979166666667
75-25_A2780_20and30_Day11_FITC_Tile-3_B4.tif,250.7131944444444
75-25_A2780_20and30_Day11_FITC_Tile-3_C4.tif,343.43888888888887
75-25_A2780_20and30_Day11_FITC_Tile-4_A4.tif,321.26944444444445
75-25_A2780_20and30_Day11_FITC_Tile-4_B4.tif,441.4881944444445
75-25_A2780_20and30_Day11_FITC_Tile-4_C4.tif,423.91041666666666
75-25_A2780_20and30_Day11_FITC_Tile-5_A4.tif,339.3284722222222
75-25_A2780_20and30_Day11_FITC_Tile-5_B4.tif,502.0909722222223
75-25_A2780_20and30_Day11_FITC_Tile-5_C4.tif,334.97569444444446
75-25_A2780_20and30_Day12_FITC_Tile-0_A4.tif,370.4430555555556
75-25_A2780_20and30_Day12_FITC_Tile-0_B4.tif,215.35416666666663
75-25_A2780_20and30_Day12_FITC_Tile-0_C4.tif,330.1305555555556
75-25_A2780_20and30_Day12_FITC_Tile-1_A4.tif,412.1791666666667
75-25_A2780_20and30_Day12_FITC_Tile-1_B4.tif,398.5680555555556
75-25_A2780_20and30_Day12_FITC_Tile-1_C4.tif,207.66319444444449
75-25_A2780_20and30_Day12_FITC_Tile-2_A4.tif,389.3069444444444
75-25_A2780_20and30_Day12_FITC_Tile-2_B4.tif,207.35416666666663
75-25_A2780_20and30_Day12_FITC_Tile-2_C4.tif,270.78194444444443
