file,rows,parsed_rows,unique_days,unique_wells,output,density,cis_status
measure_25-75A2780cisCoUntreat_4500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\20k\cis\Averages\measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,20k,cis
measure_50-50A2780cisCoUntreat_4500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\20k\cis\Averages\measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,20k,cis
measure_75-25A2780cisCoUntreat_4000Thres.csv,246,246,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\20k\cis\Averages\measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,20k,cis
measure_25-75A2780CoUntreat_2500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\20k\non_cis\Averages\measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,20k,non_cis
measure_50-50A2780CoUntreat_2500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\20k\non_cis\Averages\measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,20k,non_cis
measure_75-25A2780CoUntreat_2500Thres.csv,258,258,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\20k\non_cis\Averages\measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,20k,non_cis
measure_25-75A2780cisCoUntreat_4500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\30k\cis\Averages\measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,30k,cis
measure_50-50A2780cisCoUntreat_4500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\30k\cis\Averages\measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,30k,cis
measure_75-25A2780cisCoUntreat_4000Thres.csv,258,258,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\30k\cis\Averages\measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,30k,cis
measure_25-75A2780CoUntreat_2500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\30k\non_cis\Averages\measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,30k,non_cis
measure_50-50A2780CoUntreat_2500Thres.csv,252,252,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\30k\non_cis\Averages\measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,30k,non_cis
measure_75-25A2780CoUntreat_2500Thres.csv,246,246,14,3,c:\Users\MainFrameTower\Desktop\CancerGrowthDynamics\Processed_Datasets\Untreated CoCulture\30k\non_cis\Averages\measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,30k,non_cis
