density,cis_status,source_file,output_file,days,mean_first_day
20k,cis,combined_well_day_averages.csv,combined_day_averages.csv,14,23.53
20k,cis,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,measure_25-75A2780cisCoUntreat_4500Thres_day_averages.csv,14,31.28
20k,cis,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,measure_50-50A2780cisCoUntreat_4500Thres_day_averages.csv,14,28.17
20k,cis,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,measure_75-25A2780cisCoUntreat_4000Thres_day_averages.csv,14,11.14
20k,non_cis,combined_well_day_averages.csv,combined_day_averages.csv,14,17.64
20k,non_cis,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,measure_25-75A2780CoUntreat_2500Thres_day_averages.csv,14,12.81
20k,non_cis,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,measure_50-50A2780CoUntreat_2500Thres_day_averages.csv,14,19.43
20k,non_cis,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,measure_75-25A2780CoUntreat_2500Thres_day_averages.csv,14,20.68
30k,cis,combined_well_day_averages.csv,combined_day_averages.csv,14,40.48
30k,cis,measure_25-75A2780cisCoUntreat_4500Thres_well_day_averages.csv,measure_25-75A2780cisCoUntreat_4500Thres_day_averages.csv,14,61.05
30k,cis,measure_50-50A2780cisCoUntreat_4500Thres_well_day_averages.csv,measure_50-50A2780cisCoUntreat_4500Thres_day_averages.csv,14,34.93
30k,cis,measure_75-25A2780cisCoUntreat_4000Thres_well_day_averages.csv,measure_75-25A2780cisCoUntreat_4000Thres_day_averages.csv,14,25.47
30k,non_cis,combined_well_day_averages.csv,combined_day_averages.csv,14,24.05
30k,non_cis,measure_25-75A2780CoUntreat_2500Thres_well_day_averages.csv,measure_25-75A2780CoUntreat_2500Thres_day_averages.csv,14,13.09
30k,non_cis,measure_50-50A2780CoUntreat_2500Thres_well_day_averages.csv,measure_50-50A2780CoUntreat_2500Thres_day_averages.csv,14,28.16
30k,non_cis,measure_75-25A2780CoUntreat_2500Thres_well_day_averages.csv,measure_75-25A2780CoUntreat_2500Thres_day_averages.csv,14,30.92
