Image,Cells µm^2,Confluency %,Perimeter µm,Unnamed: 4
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A3.tif,32.64305555555556,0.741482085,50348.9,0.885681942
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A6.tif,14.08125,0.319853471,34910.9,0.68236038
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B3.tif,28.092361111111117,0.638113747,27869.8,0.639373054
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B6.tif,17.384722222222223,0.394891344,50094.3,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C3.tif,35.64791666666667,0.809737052,18701.8,0.40096704
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C6.tif,16.481250000000003,0.374369109,44218.4,0.68034917
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A3.tif,30.074305555555554,0.683133316,33287.6,0.400155458
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A6.tif,16.263194444444444,0.36941601,59652.1,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B3.tif,40.85208333333333,0.927948913,9751.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B6.tif,38.81736111111111,0.881730505,61581.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C3.tif,19.20833333333333,0.436314396,56388.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C6.tif,23.031944444444445,0.523167145,58619.2,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A3.tif,51.109722222222224,1.160949634,12211.3,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A6.tif,12.963888888888889,0.294472781,55496.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B3.tif,32.291666666666664,0.73350034,30473.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B6.tif,16.695833333333333,0.379243337,35475.7,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_C3.tif,27.589583333333334,0.626693226,15788.0,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-2_C6.tif,20.016666666666666,0.454675565,56301.6,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-3_A3.tif,53.07083333333333,1.205495977,11241.0,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-3_A6.tif,32.81527777777777,0.745394087,58135.5,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-3_B3.tif,18.7375,0.425619487,22575.8,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-3_B6.tif,34.00972222222222,0.772525712,68588.3,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-3_C3.tif,38.08263888888889,0.8650414,47107.9,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-3_C6.tif,14.390277777777776,0.32687299,50181.0,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-4_A3.tif,43.10833333333333,0.979199292,56128.0,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-4_A6.tif,9.090972222222222,0.206500063,42538.1,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-4_B3.tif,20.751388888888886,0.47136467,53070.6,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-4_B6.tif,39.81180555555555,0.904319161,46335.4,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-4_C3.tif,25.5375,0.580080462,59124.3,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-4_C6.tif,24.89444444444445,0.565473552,50590.8,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-5_A3.tif,23.941666666666663,0.543831349,51837.1,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-5_A6.tif,20.69861111111111,0.470165831,42713.1,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-5_B3.tif,39.516666666666666,0.897615125,54193.1,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-5_B6.tif,32.99097222222222,0.74938496,54157.6,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-5_C3.tif,22.820833333333333,0.518371788,15872.0,
25-75_co-cultureA2780_15and20_Day1_TX RED_Tile-5_C6.tif,6.884236111111111,0.156374385,46920.1,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-0_A3.tif,3470.4597222222224,78.83096933,61091.9,83.6590342
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-0_A6.tif,3819.591666666666,86.76144881,36392.0,85.4566332
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-0_B3.tif,3774.965277777778,85.74776711,64056.9,77.90605432
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-0_B6.tif,3133.3222222222225,71.17294185,35673.5,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-0_C3.tif,4117.771527777778,93.5345594,45645.4,55.7715879
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-0_C6.tif,3328.990277777777,75.61751223,46639.9,63.3608977
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-1_A3.tif,3880.1090277777776,88.13609154,55412.4,69.07410819
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-1_A6.tif,2145.875,48.74322708,24404.1,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-1_B3.tif,4271.308333333333,97.02212478,62693.9,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-1_B6.tif,2971.365277777777,67.49411428,69089.1,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-1_C3.tif,2822.09375,64.10343403,52574.1,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-1_C6.tif,2479.8256944444447,56.32886675,16849.4,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-2_A3.tif,4263.598611111111,96.84699961,64815.2,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-2_A6.tif,2598.3229166666665,59.02051329,6665.5,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-2_B3.tif,3820.5333333333338,86.78283863,56313.0,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-2_B6.tif,3701.020138888889,84.06811443,17061.4,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-2_C3.tif,4199.668750000001,95.39484245,28978.1,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-2_C6.tif,2437.641666666667,55.37066292,39879.1,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-3_A3.tif,4265.917361111111,96.89966966,50339.0,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-3_A6.tif,1632.4,37.07971987,60616.8,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B3.tif,4075.186805555556,92.56725385,61461.9,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B6.tif,2260.3875,51.34436125,41835.3,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C3.tif,3210.602083333333,72.92834224,55742.5,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C6.tif,2857.095138888889,64.8984853,30567.3,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A3.tif,3064.3458333333333,69.60615358,48914.8,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A6.tif,2200.717361111111,49.98896304,29136.0,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B3.tif,3425.717361111111,77.81465334,64157.9,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B6.tif,2346.6881944444444,53.30466851,42563.8,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C3.tif,3501.4333333333334,79.53453024,45672.4,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C6.tif,2934.29375,66.65204011,42403.0,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A3.tif,3153.6340277777776,71.63432145,61820.4,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A6.tif,2334.845138888889,53.03565529,35063.1,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B3.tif,3205.179166666667,72.80516151,65842.4,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B6.tif,2323.6423611111118,52.78118589,50989.2,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C3.tif,2726.8777777777777,61.94061758,60959.6,
25-75_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C6.tif,4207.691666666667,95.57708179,51811.5,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A3.tif,3297.4791666666665,74.90174209,41409.9,82.64352006
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A6.tif,3196.1694444444447,72.60050703,42596.5,87.28688218
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B3.tif,3749.6701388888887,85.17319185,52037.7,77.55638498
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B6.tif,2831.9791666666665,64.32797978,55092.3,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C3.tif,3726.118055555556,84.63820983,52097.5,69.46126754
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C6.tif,3562.140972222222,80.9134951,50310.5,64.69341806
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A3.tif,3332.251388888889,75.69158788,51031.8,75.38698017
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A6.tif,3135.4375,71.22099007,46904.5,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B3.tif,4047.0486111111113,91.92809901,53395.0,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B6.tif,3080.8840277777776,69.98181617,60083.2,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C3.tif,2296.9243055555557,52.17428928,58888.1,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C6.tif,3382.46875,76.83226766,12154.4,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A3.tif,4197.957638888889,95.35597482,48122.4,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A6.tif,2917.735416666667,66.27592007,22134.8,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B3.tif,4360.293750000001,99.04341511,53234.2,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B6.tif,3142.2159722222223,71.37496204,51438.7,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C3.tif,4200.684027777777,95.41790433,64074.0,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C6.tif,3969.593055555556,90.16870774,39106.5,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A3.tif,3739.8479166666666,84.95008155,59701.9,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A6.tif,3046.2166666666667,69.19435229,40920.5,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B3.tif,3156.54375,71.70041535,61306.8,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B6.tif,2729.376388888889,61.99737315,43729.0,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C3.tif,3622.05,82.27431963,60302.3,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C6.tif,3197.5534722222224,72.63194501,45426.3,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A3.tif,3849.5777777777776,87.4425788,52959.6,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A6.tif,3334.117361111111,75.73397316,55830.7,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B3.tif,3926.165277777778,89.18225232,61319.6,
25-75_co-cultureA2780_15and20_Day12_TX RED_Tile-4_B6.tif,2723.2902777777776,61.85912806,47449.4,
