Image,Cells
50-50_A2780_20and30_Day10_TX RED_Tile-0_A2.tif,2769.988888888889
50-50_A2780_20and30_Day10_TX RED_Tile-0_A5.tif,2155.1666666666665
50-50_A2780_20and30_Day10_TX RED_Tile-0_B2.tif,2574.5097222222225
50-50_A2780_20and30_Day10_TX RED_Tile-0_B5.tif,2362.148611111111
50-50_A2780_20and30_Day10_TX RED_Tile-0_C2.tif,1632.2416666666666
50-50_A2780_20and30_Day10_TX RED_Tile-0_C5.tif,2074.8923611111113
50-50_A2780_20and30_Day10_TX RED_Tile-1_A2.tif,2015.4881944444444
50-50_A2780_20and30_Day10_TX RED_Tile-1_A5.tif,2276.414583333333
50-50_A2780_20and30_Day10_TX RED_Tile-1_B2.tif,2206.3958333333335
50-50_A2780_20and30_Day10_TX RED_Tile-1_B5.tif,2583.4236111111113
50-50_A2780_20and30_Day10_TX RED_Tile-1_C2.tif,1822.9145833333334
50-50_A2780_20and30_Day10_TX RED_Tile-1_C5.tif,2566.6854166666667
50-50_A2780_20and30_Day10_TX RED_Tile-2_A2.tif,2896.8541666666665
50-50_A2780_20and30_Day10_TX RED_Tile-2_A5.tif,2745.2055555555553
50-50_A2780_20and30_Day10_TX RED_Tile-2_B2.tif,2733.1229166666667
50-50_A2780_20and30_Day10_TX RED_Tile-2_B5.tif,2932.5368055555555
50-50_A2780_20and30_Day10_TX RED_Tile-2_C2.tif,2410.827083333333
50-50_A2780_20and30_Day10_TX RED_Tile-2_C5.tif,2522.2791666666667
50-50_A2780_20and30_Day10_TX RED_Tile-3_A2.tif,2829.105555555556
50-50_A2780_20and30_Day10_TX RED_Tile-3_A5.tif,2351.3062499999996
50-50_A2780_20and30_Day10_TX RED_Tile-3_B2.tif,2370.640972222222
50-50_A2780_20and30_Day10_TX RED_Tile-3_B5.tif,2419.796527777778
50-50_A2780_20and30_Day10_TX RED_Tile-3_C2.tif,1750.1374999999998
50-50_A2780_20and30_Day10_TX RED_Tile-3_C5.tif,2130.7555555555555
50-50_A2780_20and30_Day10_TX RED_Tile-4_A2.tif,2714.3888888888887
50-50_A2780_20and30_Day10_TX RED_Tile-4_A5.tif,2633.5069444444443
50-50_A2780_20and30_Day10_TX RED_Tile-4_B2.tif,2602.85625
50-50_A2780_20and30_Day10_TX RED_Tile-4_B5.tif,2726.921527777778
50-50_A2780_20and30_Day10_TX RED_Tile-4_C2.tif,2736.4319444444445
50-50_A2780_20and30_Day10_TX RED_Tile-4_C5.tif,2415.66875
50-50_A2780_20and30_Day10_TX RED_Tile-5_A2.tif,2548.854861111111
50-50_A2780_20and30_Day10_TX RED_Tile-5_A5.tif,2263.7840277777777
50-50_A2780_20and30_Day10_TX RED_Tile-5_B2.tif,2314.938888888889
50-50_A2780_20and30_Day10_TX RED_Tile-5_B5.tif,2441.5486111111113
50-50_A2780_20and30_Day10_TX RED_Tile-5_C2.tif,2203.395138888889
50-50_A2780_20and30_Day10_TX RED_Tile-5_C5.tif,1626.0756944444445
50-50_A2780_20and30_Day11_TX RED_Tile-0_A2.tif,1799.4486111111112
50-50_A2780_20and30_Day11_TX RED_Tile-0_A5.tif,2646.7208333333333
50-50_A2780_20and30_Day11_TX RED_Tile-0_B2.tif,3092.488194444444
50-50_A2780_20and30_Day11_TX RED_Tile-0_B5.tif,2642.272916666667
50-50_A2780_20and30_Day11_TX RED_Tile-0_C2.tif,2773.0666666666666
50-50_A2780_20and30_Day11_TX RED_Tile-0_C5.tif,2749.2770833333334
50-50_A2780_20and30_Day11_TX RED_Tile-1_A2.tif,2011.2437499999999
50-50_A2780_20and30_Day11_TX RED_Tile-1_A5.tif,3189.4020833333334
50-50_A2780_20and30_Day11_TX RED_Tile-1_B2.tif,2230.0555555555557
50-50_A2780_20and30_Day11_TX RED_Tile-1_B5.tif,3151.801388888889
50-50_A2780_20and30_Day11_TX RED_Tile-1_C2.tif,2591.623611111111
50-50_A2780_20and30_Day11_TX RED_Tile-1_C5.tif,2956.9125000000004
50-50_A2780_20and30_Day11_TX RED_Tile-2_A2.tif,3569.039583333333
50-50_A2780_20and30_Day11_TX RED_Tile-2_A5.tif,3481.0291666666667
50-50_A2780_20and30_Day11_TX RED_Tile-2_B2.tif,2782.633333333333
50-50_A2780_20and30_Day11_TX RED_Tile-2_B5.tif,3226.345138888889
50-50_A2780_20and30_Day11_TX RED_Tile-2_C2.tif,2571.0840277777775
50-50_A2780_20and30_Day11_TX RED_Tile-2_C5.tif,3653.5868055555557
50-50_A2780_20and30_Day11_TX RED_Tile-3_A2.tif,2694.604861111111
50-50_A2780_20and30_Day11_TX RED_Tile-3_A5.tif,2117.6229166666667
50-50_A2780_20and30_Day11_TX RED_Tile-3_B2.tif,2092.3506944444443
50-50_A2780_20and30_Day11_TX RED_Tile-3_B5.tif,2683.4430555555555
50-50_A2780_20and30_Day11_TX RED_Tile-3_C2.tif,1740.6722222222222
50-50_A2780_20and30_Day11_TX RED_Tile-3_C5.tif,2268.411111111111
50-50_A2780_20and30_Day11_TX RED_Tile-4_A2.tif,3059.304166666667
50-50_A2780_20and30_Day11_TX RED_Tile-4_A5.tif,2622.738194444444
50-50_A2780_20and30_Day11_TX RED_Tile-4_B2.tif,2117.2118055555557
50-50_A2780_20and30_Day11_TX RED_Tile-4_B5.tif,3406.129861111111
50-50_A2780_20and30_Day11_TX RED_Tile-4_C2.tif,2850.867361111111
50-50_A2780_20and30_Day11_TX RED_Tile-4_C5.tif,3428.945833333333
50-50_A2780_20and30_Day11_TX RED_Tile-5_A2.tif,2412.432638888889
50-50_A2780_20and30_Day11_TX RED_Tile-5_A5.tif,2397.3145833333333
50-50_A2780_20and30_Day11_TX RED_Tile-5_B2.tif,2487.1520833333334
50-50_A2780_20and30_Day11_TX RED_Tile-5_B5.tif,2399.05
