Image,Area µm^2,Confluency %,Perimeter µm,Unnamed: 4
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A2.tif,57.888888888888886,1.314937383,3255.2,1.89900346
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_A5.tif,47.28333333333333,1.074033788,2627.8,2.123998774
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B2.tif,72.98541666666667,1.657852735,3982.2,1.763382139
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_B5.tif,68.6875,1.560226206,4023.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C2.tif,65.26527777777778,1.482490944,3478.6,1.379340816
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-0_C5.tif,37.386805555555554,0.849235651,2233.7,1.449672719
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A2.tif,45.831944444444446,1.041065708,2551.0,1.059776539
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_A5.tif,42.31736111111111,0.961232477,2165.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B2.tif,58.0611111111111,1.318849385,3101.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_B5.tif,104.22291666666666,2.367407838,5800.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C2.tif,69.34166666666667,1.575085503,3346.3,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-1_C5.tif,73.11875,1.660881382,3461.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A2.tif,106.54583333333333,2.42017254,5047.8,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_A5.tif,63.125,1.433874857,3582.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B2.tif,138.96041666666667,3.156464913,7072.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_B5.tif,80.54097222222222,1.82947604,4399.1,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_C2.tif,101.08125000000001,2.296045353,5171.6,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-2_C5.tif,31.91944444444444,0.725045368,1575.0,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-3_A2.tif,72.13541666666667,1.638545113,4013.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-3_A5.tif,42.419444444444444,0.963551285,2297.7,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-3_B2.tif,113.73194444444444,2.58340397,5797.6,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-3_B5.tif,66.05902777777777,1.500520856,3387.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-3_C2.tif,79.04027777777777,1.795387992,3828.6,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-3_C5.tif,51.64375,1.173079995,2596.5,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-4_A2.tif,119.55486111111112,2.715670644,6234.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-4_A5.tif,92.56319444444445,2.102559006,4403.3,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-4_B2.tif,83.68263888888889,1.900838525,4396.2,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-4_B5.tif,32.66388888888889,0.741955311,1808.3,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-4_C2.tif,90.45416666666667,2.054652758,4744.8,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-4_C5.tif,46.541666666666664,1.057186941,2390.2,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-5_A2.tif,99.65416666666667,2.26362937,5015.1,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-5_A5.tif,76.63680555555555,1.740793483,3938.1,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-5_B2.tif,93.62083333333334,2.126583113,5239.9,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-5_B5.tif,30.748611111111114,0.698450065,1485.3,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-5_C2.tif,60.60486111111111,1.376630282,3195.4,
50-50_co-cultureA2780_15and20_Day1_TX RED_Tile-5_C5.tif,39.32361111111111,0.893229897,2228.0,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-0_A2.tif,4097.543750000001,93.07508847,22425.0,93.61595953
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-0_A5.tif,3960.9381944444444,89.97211388,30378.1,90.02184993
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-0_B2.tif,4259.968055555556,96.76453208,10895.3,86.79123313
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-0_B5.tif,3979.4715277777777,90.39309575,29811.8,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-0_C2.tif,3912.755555555556,88.8776525,26909.5,86.06833568
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-0_C5.tif,4054.8256944444447,92.10475428,23908.9,81.45820455
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-1_A2.tif,4034.253472222222,91.63745936,25051.4,90.74052778
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-1_A5.tif,3503.942361111111,79.59152243,43818.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-1_B2.tif,4005.3284722222224,90.98043234,28211.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-1_B5.tif,4024.952083333333,91.42617971,33182.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-1_C2.tif,3600.71875,81.78978351,42627.8,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-1_C5.tif,4198.768749999999,95.37439909,12895.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-2_A2.tif,4360.834722222222,99.05570321,6254.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-2_A5.tif,3897.2791666666662,88.52610866,33936.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-2_B2.tif,4310.705555555555,97.91702675,8155.1,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-2_B5.tif,3694.7541666666666,83.92578382,31450.8,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-2_C2.tif,3257.758333333333,73.99948935,48072.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-2_C5.tif,3880.945138888889,88.15508368,34758.7,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_A2.tif,4039.795833333333,91.76335325,25522.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_A5.tif,3803.1805555555557,86.38867289,40608.9,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B2.tif,3855.9736111111106,87.58785919,34321.9,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_B5.tif,3043.141666666667,69.12450413,56496.5,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C2.tif,4129.406944444444,93.79885613,23590.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-3_C5.tif,4373.404861111111,99.34123202,5776.3,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A2.tif,4307.447916666667,97.84302997,11256.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_A5.tif,3853.7944444444447,87.53835975,39583.1,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B2.tif,4047.0069444444443,91.92715255,23623.0,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_B5.tif,3086.327083333333,70.10545436,52094.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C2.tif,4065.2944444444447,92.34255036,26723.1,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-4_C5.tif,3706.5375000000004,84.19344046,39620.1,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A2.tif,3888.2548611111106,88.32112292,35246.7,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_A5.tif,3715.3333333333335,84.39323649,51292.2,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B2.tif,3299.7840277777777,74.95409667,49937.8,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_B5.tif,3688.0812499999997,83.77420952,47051.0,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C2.tif,3959.483333333333,89.93906692,30423.6,
50-50_co-cultureA2780_15and20_Day10_TX RED_Tile-5_C5.tif,3754.119444444444,85.27425715,39694.1,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A2.tif,3764.3875000000003,85.50749449,37073.4,87.00704523
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_A5.tif,3822.0375000000004,86.81700554,37215.7,90.40875164
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B2.tif,4132.850694444444,93.87708039,23042.5,88.84003629
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_B5.tif,4120.867361111112,93.60488078,19019.0,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C2.tif,4015.3194444444443,91.20737577,30060.8,89.00964575
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-0_C5.tif,4101.265277777778,93.15962242,22625.6,89.9092458
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A2.tif,3642.4041666666662,82.73666146,43285.1,91.12405644
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_A5.tif,3646.7472222222223,82.83531331,46840.5,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B2.tif,3832.4881944444446,87.05439149,35871.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_B5.tif,4017.9479166666665,91.26708112,27963.7,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C2.tif,3441.8791666666666,78.18176632,51406.0,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-1_C5.tif,3661.4013888888894,83.1681805,40288.8,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A2.tif,4224.541666666667,95.959827,13197.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_A5.tif,3803.426388888889,86.39425696,40860.8,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B2.tif,4046.8868055555554,91.92442362,25612.0,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_B5.tif,4270.085416666667,96.99434642,12683.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C2.tif,4046.5041666666666,91.91573203,21890.1,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-2_C5.tif,4284.497222222222,97.32170841,9620.5,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A2.tif,3815.005555555556,86.65727599,38809.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_A5.tif,3895.6375000000003,88.48881845,35882.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B2.tif,3985.255555555556,90.52447907,29107.6,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_B5.tif,4155.604861111111,94.39393786,20268.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C2.tif,3910.4041666666662,88.82424105,29473.2,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-3_C5.tif,4297.991666666667,97.62823268,10572.3,
50-50_co-cultureA2780_15and20_Day12_TX RED_Tile-4_A2.tif,3964.926388888889,90.06270511,33617.6,
