Image,Cells µm^2
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A1.tif,3953.4347222222223
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A2.tif,3943.3125
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A3.tif,3815.976388888889
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A1.tif,3955.7361111111113
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A2.tif,3864.1979166666665
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A3.tif,3736.102083333333
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A1.tif,4317.434722222222
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A2.tif,4218.405555555556
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A3.tif,4069.110416666667
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A1.tif,3991.990972222222
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A2.tif,4003.0159722222224
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A3.tif,3471.4826388888887
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A1.tif,4322.427083333333
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A2.tif,3957.397916666667
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A3.tif,3847.772222222222
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A1.tif,4105.909722222223
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A2.tif,4023.4569444444446
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A3.tif,4070.3611111111113
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A1.tif,4125.567361111111
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A2.tif,4211.420833333334
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A3.tif,4295.521527777778
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A1.tif,4212.067361111111
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A2.tif,4249.784027777778
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A3.tif,4147.023611111112
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A1.tif,4338.757638888888
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A2.tif,4357.304861111112
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A3.tif,4203.1819444444445
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A1.tif,4173.163194444444
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A2.tif,4273.225
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A3.tif,3957.925
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A1.tif,4319.093055555556
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A2.tif,4132.878472222223
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A3.tif,4135.682638888889
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A1.tif,4276.706944444445
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A2.tif,4219.705555555555
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A3.tif,4216.982638888889
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A1.tif,4211.504861111111
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A2.tif,4062.9375
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A3.tif,4027.866666666667
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A1.tif,4254.948611111111
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A2.tif,4109.612499999999
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A3.tif,4111.601388888888
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A1.tif,4366.559027777777
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A2.tif,4275.515972222222
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A3.tif,4219.698611111111
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A1.tif,4321.815972222223
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A2.tif,4074.183333333333
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A3.tif,3942.750694444445
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A1.tif,4380.233333333334
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A2.tif,4215.8125
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A3.tif,4193.168750000001
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_A1.tif,4359.352777777778
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_A2.tif,4101.201388888889
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_A3.tif,4294.730555555555
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_A1.tif,326.24791666666664
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_A2.tif,157.38333333333333
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_A3.tif,128.35555555555555
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_A1.tif,231.0770833333333
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_A2.tif,162.60763888888889
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_A3.tif,101.57291666666669
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_A1.tif,696.7583333333333
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_A2.tif,495.4187500000001
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_A3.tif,100.05138888888888
A2780_20and30_untreated_Day1_250_TX RED_Tile-3_A1.tif,420.1652777777778
A2780_20and30_untreated_Day1_250_TX RED_Tile-3_A2.tif,271.86041666666665
A2780_20and30_untreated_Day1_250_TX RED_Tile-3_A3.tif,676.3625
A2780_20and30_untreated_Day1_250_TX RED_Tile-4_A1.tif,316.9659722222222
A2780_20and30_untreated_Day1_250_TX RED_Tile-4_A2.tif,132.70833333333334
A2780_20and30_untreated_Day1_250_TX RED_Tile-4_A3.tif,142.71458333333334
A2780_20and30_untreated_Day1_250_TX RED_Tile-5_A1.tif,338.70694444444445
A2780_20and30_untreated_Day1_250_TX RED_Tile-5_A2.tif,218.8326388888889
A2780_20and30_untreated_Day1_250_TX RED_Tile-5_A3.tif,134.38819444444445
A2780_20and30_untreated_Day2_250_TX RED_Tile-0_A1.tif,553.7097222222222
A2780_20and30_untreated_Day2_250_TX RED_Tile-0_A2.tif,241.07569444444445
A2780_20and30_untreated_Day2_250_TX RED_Tile-0_A3.tif,183.5055555555556
A2780_20and30_untreated_Day2_250_TX RED_Tile-1_A1.tif,412.3930555555555
A2780_20and30_untreated_Day2_250_TX RED_Tile-1_A2.tif,302.23749999999995
A2780_20and30_untreated_Day2_250_TX RED_Tile-1_A3.tif,153.72222222222223
A2780_20and30_untreated_Day2_250_TX RED_Tile-2_A1.tif,1170.4111111111113
A2780_20and30_untreated_Day2_250_TX RED_Tile-2_A2.tif,704.7159722222223
A2780_20and30_untreated_Day2_250_TX RED_Tile-2_A3.tif,159.55763888888887
A2780_20and30_untreated_Day2_250_TX RED_Tile-3_A1.tif,1058.9409722222222
A2780_20and30_untreated_Day2_250_TX RED_Tile-3_A2.tif,421.6618055555556
A2780_20and30_untreated_Day2_250_TX RED_Tile-3_A3.tif,97.33888888888887
A2780_20and30_untreated_Day2_250_TX RED_Tile-4_A1.tif,392.00138888888887
A2780_20and30_untreated_Day2_250_TX RED_Tile-4_A2.tif,225.53958333333333
A2780_20and30_untreated_Day2_250_TX RED_Tile-4_A3.tif,221.23958333333331
A2780_20and30_untreated_Day2_250_TX RED_Tile-5_A1.tif,757.9722222222222
A2780_20and30_untreated_Day2_250_TX RED_Tile-5_A2.tif,263.9763888888889
A2780_20and30_untreated_Day2_250_TX RED_Tile-5_A3.tif,162.78333333333333
A2780_20and30_untreated_Day4_250_TX RED_Tile-0_A1.tif,1602.15625
A2780_20and30_untreated_Day4_250_TX RED_Tile-0_A2.tif,1103.6215277777778
A2780_20and30_untreated_Day4_250_TX RED_Tile-0_A3.tif,1042.2388888888888
A2780_20and30_untreated_Day4_250_TX RED_Tile-1_A1.tif,1617.4499999999998
A2780_20and30_untreated_Day4_250_TX RED_Tile-1_A2.tif,1222.2201388888889
A2780_20and30_untreated_Day4_250_TX RED_Tile-1_A3.tif,1011.2326388888888
A2780_20and30_untreated_Day4_250_TX RED_Tile-2_A1.tif,3626.368055555556
A2780_20and30_untreated_Day4_250_TX RED_Tile-2_A2.tif,2809.9750000000004
A2780_20and30_untreated_Day4_250_TX RED_Tile-2_A3.tif,1294.1145833333333
A2780_20and30_untreated_Day4_250_TX RED_Tile-3_A1.tif,2164.765277777778
A2780_20and30_untreated_Day4_250_TX RED_Tile-3_A2.tif,1756.1909722222222
A2780_20and30_untreated_Day4_250_TX RED_Tile-3_A3.tif,883.9944444444444
A2780_20and30_untreated_Day4_250_TX RED_Tile-4_A1.tif,2603.7375
A2780_20and30_untreated_Day4_250_TX RED_Tile-4_A2.tif,1594.398611111111
A2780_20and30_untreated_Day4_250_TX RED_Tile-4_A3.tif,1411.65625
A2780_20and30_untreated_Day4_250_TX RED_Tile-5_A1.tif,2180.9166666666665
A2780_20and30_untreated_Day4_250_TX RED_Tile-5_A2.tif,1545.0319444444444
A2780_20and30_untreated_Day4_250_TX RED_Tile-5_A3.tif,1150.1215277777778
A2780_20and30_untreated_Day5_250_TX RED_Tile-0_A1.tif,2277.3881944444447
A2780_20and30_untreated_Day5_250_TX RED_Tile-0_A2.tif,2389.9645833333334
A2780_20and30_untreated_Day5_250_TX RED_Tile-0_A3.tif,1912.4222222222224
A2780_20and30_untreated_Day5_250_TX RED_Tile-1_A1.tif,2981.3166666666666
A2780_20and30_untreated_Day5_250_TX RED_Tile-1_A2.tif,2413.019444444444
A2780_20and30_untreated_Day5_250_TX RED_Tile-1_A3.tif,1771.1513888888887
A2780_20and30_untreated_Day5_250_TX RED_Tile-2_A1.tif,4065.6847222222223
A2780_20and30_untreated_Day5_250_TX RED_Tile-2_A2.tif,3634.652777777778
A2780_20and30_untreated_Day5_250_TX RED_Tile-2_A3.tif,2261.9777777777776
A2780_20and30_untreated_Day5_250_TX RED_Tile-3_A1.tif,3159.9944444444445
A2780_20and30_untreated_Day5_250_TX RED_Tile-3_A2.tif,3164.0631944444444
A2780_20and30_untreated_Day5_250_TX RED_Tile-3_A3.tif,1161.3465277777775
A2780_20and30_untreated_Day5_250_TX RED_Tile-4_A1.tif,3853.2215277777777
A2780_20and30_untreated_Day5_250_TX RED_Tile-4_A2.tif,2330.011805555556
A2780_20and30_untreated_Day5_250_TX RED_Tile-4_A3.tif,2235.374305555556
A2780_20and30_untreated_Day5_250_TX RED_Tile-5_A1.tif,3121.2875000000004
A2780_20and30_untreated_Day5_250_TX RED_Tile-5_A2.tif,2526.0597222222223
A2780_20and30_untreated_Day5_250_TX RED_Tile-5_A3.tif,2070.15625
A2780_20and30_untreated_Day6_250_TX RED_Tile-0_A1.tif,3743.378472222222
A2780_20and30_untreated_Day6_250_TX RED_Tile-0_A3.tif,2741.895833333333
A2780_20and30_untreated_Day6_250_TX RED_Tile-1_A1.tif,3576.699305555556
A2780_20and30_untreated_Day6_250_TX RED_Tile-1_A3.tif,2548.275
