Image,Cells µm^2
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_A4.tif,4067.94375
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_A5.tif,3625.472222222222
A2780cis_20and30_untreated_Day12_25_FITC_Tile-0_A6.tif,3819.461805555556
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_A4.tif,3599.501388888889
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_A5.tif,3579.45
A2780cis_20and30_untreated_Day12_25_FITC_Tile-1_A6.tif,4054.2875
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_A4.tif,3091.6833333333334
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_A5.tif,4026.0888888888894
A2780cis_20and30_untreated_Day12_25_FITC_Tile-2_A6.tif,4092.65
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_A4.tif,2641.2013888888887
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_A5.tif,3576.498611111111
A2780cis_20and30_untreated_Day12_25_FITC_Tile-3_A6.tif,4097.4319444444445
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_A4.tif,3642.898611111111
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_A5.tif,3792.973611111111
A2780cis_20and30_untreated_Day12_25_FITC_Tile-4_A6.tif,4120.592361111111
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_A4.tif,3616.5763888888887
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_A5.tif,3552.273611111111
A2780cis_20and30_untreated_Day12_25_FITC_Tile-5_A6.tif,4076.0840277777775
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_A4.tif,4289.260416666667
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_A5.tif,4245.855555555555
A2780cis_20and30_untreated_Day13_25_FITC_Tile-0_A6.tif,4305.109722222222
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_A4.tif,4132.656944444444
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_A5.tif,4185.660416666667
A2780cis_20and30_untreated_Day13_25_FITC_Tile-1_A6.tif,4343.054166666667
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_A4.tif,3842.723611111111
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_A5.tif,4324.8125
A2780cis_20and30_untreated_Day13_25_FITC_Tile-2_A6.tif,4352.867361111112
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_A4.tif,3556.883333333333
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_A5.tif,4151.295833333334
A2780cis_20and30_untreated_Day13_25_FITC_Tile-3_A6.tif,4354.971527777778
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_A4.tif,4086.136111111111
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_A5.tif,4205.697222222222
A2780cis_20and30_untreated_Day13_25_FITC_Tile-4_A6.tif,4319.609027777778
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_A4.tif,4063.2708333333335
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_A5.tif,4025.4805555555554
A2780cis_20and30_untreated_Day13_25_FITC_Tile-5_A6.tif,4284.981250000001
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_A4.tif,2921.3708333333334
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_A5.tif,2504.2840277777777
A2780cis_20and30_untreated_Day14_25_FITC_Tile-0_A6.tif,2843.075
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_A4.tif,3491.136805555556
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_A5.tif,3447.110416666667
A2780cis_20and30_untreated_Day14_25_FITC_Tile-1_A6.tif,3363.7055555555557
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_A4.tif,3498.146527777777
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_A5.tif,3273.7131944444445
A2780cis_20and30_untreated_Day14_25_FITC_Tile-2_A6.tif,3283.6701388888887
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_A4.tif,3160.932638888889
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_A5.tif,3305.456944444444
A2780cis_20and30_untreated_Day14_25_FITC_Tile-3_A6.tif,2055.413888888889
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_A4.tif,3550.6854166666667
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_A5.tif,4077.5493055555553
A2780cis_20and30_untreated_Day14_25_FITC_Tile-4_A6.tif,3999.1444444444446
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_A4.tif,3676.3569444444447
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_A5.tif,3653.249305555556
A2780cis_20and30_untreated_Day14_25_FITC_Tile-5_A6.tif,4185.073611111111
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_A4.tif,3553.454166666667
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_A5.tif,3094.061805555556
A2780cis_20and30_untreated_Day16_25_FITC_Tile-0_A6.tif,3053.66875
A2780cis_20and30_untreated_Day16_25_FITC_Tile-1_A4.tif,3211.764583333333
A2780cis_20and30_untreated_Day16_25_FITC_Tile-1_A5.tif,3570.1854166666667
A2780cis_20and30_untreated_Day16_25_FITC_Tile-1_A6.tif,2283.3256944444447
A2780cis_20and30_untreated_Day16_25_FITC_Tile-2_A4.tif,3973.071527777778
A2780cis_20and30_untreated_Day16_25_FITC_Tile-2_A5.tif,4294.639583333334
A2780cis_20and30_untreated_Day16_25_FITC_Tile-2_A6.tif,3576.438888888889
A2780cis_20and30_untreated_Day16_25_FITC_Tile-3_A4.tif,4028.407638888888
A2780cis_20and30_untreated_Day16_25_FITC_Tile-3_A5.tif,3807.3333333333335
A2780cis_20and30_untreated_Day16_25_FITC_Tile-3_A6.tif,3543.722222222222
A2780cis_20and30_untreated_Day16_25_FITC_Tile-4_A4.tif,4142.722916666667
A2780cis_20and30_untreated_Day16_25_FITC_Tile-4_A5.tif,4344.449305555555
A2780cis_20and30_untreated_Day16_25_FITC_Tile-4_A6.tif,4373.870138888889
A2780cis_20and30_untreated_Day16_25_FITC_Tile-5_A4.tif,4267.002777777778
A2780cis_20and30_untreated_Day16_25_FITC_Tile-5_A5.tif,4133.5569444444445
A2780cis_20and30_untreated_Day16_25_FITC_Tile-5_A6.tif,4157.268749999999
A2780cis_20and30_untreated_Day18_25_FITC_Tile-0_A4.tif,4232.975694444444
A2780cis_20and30_untreated_Day18_25_FITC_Tile-0_A5.tif,3129.5055555555555
A2780cis_20and30_untreated_Day18_25_FITC_Tile-0_A6.tif,3376.8881944444447
A2780cis_20and30_untreated_Day18_25_FITC_Tile-1_A4.tif,4326.414583333333
A2780cis_20and30_untreated_Day18_25_FITC_Tile-1_A5.tif,3407.651388888889
A2780cis_20and30_untreated_Day18_25_FITC_Tile-1_A6.tif,4139.047916666666
A2780cis_20and30_untreated_Day18_25_FITC_Tile-2_A4.tif,4361.454166666666
A2780cis_20and30_untreated_Day18_25_FITC_Tile-2_A5.tif,4388.69375
A2780cis_20and30_untreated_Day18_25_FITC_Tile-2_A6.tif,4106.295833333334
A2780cis_20and30_untreated_Day18_25_FITC_Tile-3_A4.tif,4365.392361111111
