Day,N Samples,Mean Area µm^2,SD Area µm^2,SEM Area µm^2
1,3,280.676543,94.116978,54.338463
2,3,415.710147,284.743628,164.396810
3,3,908.838195,463.266708,267.467159
4,3,1701.121682,584.051235,337.202138
5,3,2629.394059,677.713371,391.277997
6,2,3264.793577,773.569663,546.996354
7,3,3641.570756,368.196952,212.578609
8,3,3601.847184,394.997020,228.051636
9,3,3866.167400,168.936717,97.535659
10,3,3884.251659,147.312671,85.051010
11,3,4153.039699,52.481333,30.300112
12,3,3981.529167,137.450950,79.357343
13,3,4213.666204,47.007918,27.140034
14,3,4195.749691,103.992654,60.040187
