Day,N Samples,Mean Cells,SD Cells,SEM Cells
1,3,67.719792,12.054741,6.959808
2,3,107.027392,18.935138,10.932207
3,3,202.739467,36.212449,20.907267
4,3,377.444058,82.939359,47.885061
5,3,752.271682,171.510671,99.021732
6,3,1296.433719,241.965278,139.698718
7,3,2096.342901,365.322482,210.919033
8,3,3102.892593,535.797317,309.342725
9,3,3584.215586,334.442637,193.090547
10,3,3430.941590,291.222532,168.137407
11,3,4001.257793,160.433323,92.626222
12,3,3726.281636,301.513001,174.078612
13,3,4170.573688,166.639120,96.209141
14,3,3349.448611,53.006505,30.603320
16,3,3744.941358,213.889633,123.489237
18,3,4091.923804,199.374546,115.108948
