Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,A4,6,57.655671,25.402127,10.370375
1,A5,6,64.424074,13.036923,5.322302
1,A6,6,81.079630,14.693304,5.998516
2,A4,6,90.171644,38.875604,15.870899
2,A5,6,103.394907,8.465831,3.456161
2,A6,6,127.515625,20.026434,8.175757
3,A4,6,173.095023,71.702792,29.272542
3,A5,6,192.022569,29.481740,12.035870
3,A6,6,243.100810,35.514187,14.498606
4,A4,6,295.073611,133.256183,54.401609
4,A5,6,376.317708,54.464547,22.235058
4,A6,6,460.940856,93.142547,38.025286
5,A4,6,580.590856,249.025042,101.664048
5,A5,6,752.612500,132.336368,54.026096
5,A6,6,923.611690,153.247244,62.562925
6,A4,6,1033.945949,379.319026,154.856344
6,A5,6,1344.778125,259.760113,106.046622
6,A6,6,1510.577083,167.033273,68.191048
7,A4,6,1749.948495,430.403683,175.711568
7,A5,6,2061.048611,139.975779,57.144872
7,A6,6,2478.031597,230.616961,94.148980
8,A4,6,2536.235532,675.376462,275.721286
8,A5,6,3171.154630,350.562300,143.116460
8,A6,6,3601.287616,232.312635,94.841236
9,A4,6,3229.907407,479.469794,195.742724
9,A5,6,3628.323958,97.321423,39.731304
9,A6,6,3894.415394,125.508955,51.238816
10,A4,6,3149.869676,608.694204,248.498368
10,A5,6,3411.604167,206.723339,84.394450
10,A6,6,3731.350926,212.139498,86.605588
11,A4,6,3829.814468,156.707206,63.975449
11,A5,6,4026.199190,105.589661,43.106799
11,A6,6,4147.759722,99.765318,40.729021
12,A4,6,3443.300810,500.287810,204.241643
12,A5,6,3692.126157,185.347480,75.667792
12,A6,6,4043.417940,111.927450,45.694190
13,A4,6,3995.155208,258.317437,105.457652
13,A5,6,4189.800347,100.123832,40.875383
13,A6,6,4326.765509,28.313669,11.559007
14,A4,6,3383.104861,283.388187,115.692743
14,A5,6,3376.893866,519.503254,212.086315
14,A6,6,3288.347106,778.902255,317.985514
16,A4,6,3862.737269,400.216032,163.387511
16,A5,6,3874.037731,483.876294,197.541670
16,A6,6,3498.049074,759.327450,309.994133
18,A4,6,4292.013194,94.041141,38.392135
18,A5,6,3893.271875,563.346912,229.985414
18,A6,6,4090.486343,373.524268,152.490644
