Day,Well,N Tiles,Mean Cells,SD Cells,SEM Cells
1,B1,6,390.397106,178.454858,72.853891
1,B2,6,211.714931,51.687098,21.101169
1,B3,6,138.438889,23.035032,9.404012
2,B1,6,604.543866,263.909542,107.740619
2,B2,6,317.706366,71.722942,29.280768
2,B3,6,237.622222,59.926038,24.464702
3,B1,6,1377.216898,594.852735,242.847612
3,B2,6,831.003819,210.347370,85.873954
3,B3,6,554.943403,78.740305,32.145595
4,B1,6,2379.683565,674.904920,275.528780
4,B2,6,1320.419676,281.871030,115.073366
4,B3,6,1084.432176,248.434788,101.423077
5,B1,6,3369.330556,272.468837,111.234937
5,B2,6,2283.434375,486.583892,198.647042
5,B3,6,2233.800694,384.253518,156.870842
6,B1,6,3299.335880,507.201578,207.064177
6,B2,6,3032.142940,473.856731,193.451200
6,B3,6,2773.257407,226.081359,92.297328
7,B1,6,3870.975231,169.807367,69.323567
7,B2,6,3157.832176,249.641676,101.915787
7,B3,6,3359.913426,197.545248,80.647510
8,B1,6,3764.211458,231.921256,94.681456
8,B2,6,3267.390162,139.831176,57.085838
8,B3,6,3183.591319,208.546189,85.138625
9,B1,6,3987.587384,157.231336,64.189424
9,B2,6,3637.688889,157.494014,64.296662
9,B3,6,3640.426968,123.520783,50.427149
10,B1,6,3868.399769,336.950534,137.559480
10,B2,6,3563.339815,189.682812,77.437684
10,B3,6,3526.634259,78.514614,32.053457
11,B1,6,4194.565278,98.087113,40.043896
11,B2,6,4029.356019,97.136417,39.655776
11,B3,6,4031.490509,189.957183,77.549695
12,B1,6,4104.020023,137.558346,56.157959
12,B2,6,3900.429167,323.837539,132.206122
12,B3,6,4027.195255,55.801765,22.780975
13,B1,6,4237.359838,53.348678,21.779507
13,B2,6,4026.500810,322.846643,131.801590
13,B3,6,4150.009491,39.547976,16.145394
14,B1,6,4308.544213,93.203884,38.050326
14,B2,6,4031.280903,145.091261,59.233259
14,B3,6,4169.379282,143.695096,58.663277
