Day,N Samples,Mean Area µm^2,SD Area µm^2,SEM Area µm^2
1,3,80.439853,21.296953,12.295801
2,3,140.194560,34.592180,19.971805
3,3,246.179012,68.735292,39.684339
4,3,504.268634,114.206874,65.937369
5,3,917.923032,215.438768,124.383631
6,3,1707.485031,208.122173,120.159393
7,3,2472.925849,207.763105,119.952084
8,3,3185.559259,76.920536,44.410092
9,3,3761.654668,75.556754,43.622712
10,3,3510.291435,50.519424,29.167403
11,3,4178.483796,21.138499,12.204318
12,3,3520.712192,67.302632,38.857193
13,3,4140.540625,43.989212,25.397184
14,3,3732.035031,102.384553,59.111749
16,3,3716.145641,229.031204,132.231227
18,3,3651.252238,377.733271,218.084406
