Day,Well,N Tiles,Mean Area µm^2,SD Area µm^2,SEM Area µm^2
1,B4,6,102.982060,19.930207,8.136473
1,B5,6,60.657176,11.222960,4.581754
1,B6,6,77.680324,10.883848,4.443312
2,B4,6,179.641667,31.163386,12.722399
2,B5,6,115.033796,14.768066,6.029038
2,B6,6,125.908218,11.272967,4.602170
3,B4,6,325.496759,48.897986,19.962519
3,B5,6,208.982176,42.943739,17.531708
3,B6,6,204.058102,28.093580,11.469156
4,B4,6,635.751968,103.468603,42.240880
4,B5,6,429.734375,112.963661,46.117221
4,B6,6,447.319560,31.605615,12.902938
5,B4,6,1166.639005,190.000858,77.567525
5,B5,6,789.190509,176.061720,71.876896
5,B6,6,797.939583,113.552282,46.357525
6,B4,6,1930.467477,136.148162,55.582254
6,B5,6,1673.607986,250.332463,102.197800
6,B6,6,1518.379630,141.838617,57.905373
7,B4,6,2704.346759,249.177173,101.726155
7,B5,6,2302.454282,344.012198,140.442392
7,B6,6,2411.976505,294.713091,120.316115
8,B4,6,3217.967708,208.722921,85.210776
8,B5,6,3097.737731,227.032602,92.685672
8,B6,6,3240.972338,235.065641,95.965146
9,B4,6,3820.144329,170.971037,69.798633
9,B5,6,3676.346991,253.396500,103.448688
9,B6,6,3788.472685,335.216612,136.851609
10,B4,6,3470.754051,144.657948,59.056360
10,B5,6,3492.914352,202.722317,82.761039
10,B6,6,3567.205903,173.563991,70.857202
11,B4,6,4200.269907,84.733899,34.592469
11,B5,6,4177.122801,100.869997,41.180004
11,B6,6,4158.058681,126.210552,51.525242
12,B4,6,3598.218056,396.120626,161.715569
12,B5,6,3477.032292,413.246701,168.707259
12,B6,6,3486.886227,566.946952,231.455124
13,B4,6,4096.906597,255.710349,104.393313
13,B5,6,4139.838657,155.883102,63.639010
13,B6,6,4184.876620,195.434261,79.785703
14,B4,6,3743.419560,259.921490,106.112504
14,B5,6,3624.434028,465.246091,189.935921
14,B6,6,3828.251505,483.614323,197.434720
16,B4,6,3468.142940,712.427166,290.847173
16,B5,6,3919.684954,629.407423,256.954504
16,B6,6,3760.609028,687.067864,280.494281
18,B4,6,4087.085532,326.563512,133.318996
18,B5,6,3418.522454,912.667495,372.594945
18,B6,6,3448.148727,828.755562,338.338041
