Image,Cells µm^2
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A1.tif,3953.4347222222223
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A2.tif,3943.3125
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_A3.tif,3815.976388888889
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_B1.tif,4163.484027777778
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_B2.tif,4078.9583333333335
A2780_20and30_untreated_Day12_250_TX RED_Tile-0_B3.tif,4055.994444444444
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A1.tif,3955.7361111111113
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A2.tif,3864.1979166666665
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_A3.tif,3736.102083333333
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_B1.tif,3905.322222222223
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_B2.tif,3942.3145833333338
A2780_20and30_untreated_Day12_250_TX RED_Tile-1_B3.tif,3970.2708333333335
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A1.tif,4317.434722222222
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A2.tif,4218.405555555556
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_A3.tif,4069.110416666667
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_B1.tif,4079.555555555556
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_B2.tif,4028.636111111111
A2780_20and30_untreated_Day12_250_TX RED_Tile-2_B3.tif,4054.438194444445
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A1.tif,3991.990972222222
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A2.tif,4003.0159722222224
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_A3.tif,3471.4826388888887
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_B1.tif,3992.465277777778
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_B2.tif,3246.621527777778
A2780_20and30_untreated_Day12_250_TX RED_Tile-3_B3.tif,3991.913888888889
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A1.tif,4322.427083333333
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A2.tif,3957.397916666667
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_A3.tif,3847.772222222222
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_B1.tif,4259.944444444444
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_B2.tif,4041.7090277777775
A2780_20and30_untreated_Day12_250_TX RED_Tile-4_B3.tif,3978.724305555556
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A1.tif,4105.909722222223
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A2.tif,4023.4569444444446
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_A3.tif,4070.3611111111113
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_B1.tif,4223.348611111111
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_B2.tif,4064.335416666667
A2780_20and30_untreated_Day12_250_TX RED_Tile-5_B3.tif,4111.829861111111
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A1.tif,4125.567361111111
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A2.tif,4211.420833333334
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_A3.tif,4295.521527777778
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_B1.tif,4256.828472222222
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_B2.tif,4233.025
A2780_20and30_untreated_Day13_250_TX RED_Tile-0_B3.tif,4167.798611111111
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A1.tif,4212.067361111111
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A2.tif,4249.784027777778
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_A3.tif,4147.023611111112
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_B1.tif,4159.988194444445
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_B2.tif,4155.163888888888
A2780_20and30_untreated_Day13_250_TX RED_Tile-1_B3.tif,4184.831249999999
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A1.tif,4338.757638888888
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A2.tif,4357.304861111112
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_A3.tif,4203.1819444444445
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_B1.tif,4232.476388888888
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_B2.tif,4189.988888888889
A2780_20and30_untreated_Day13_250_TX RED_Tile-2_B3.tif,4200.452083333334
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A1.tif,4173.163194444444
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A2.tif,4273.225
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_A3.tif,3957.925
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_B1.tif,4229.5569444444445
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_B2.tif,3375.651388888889
A2780_20and30_untreated_Day13_250_TX RED_Tile-3_B3.tif,4104.771527777778
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A1.tif,4319.093055555556
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A2.tif,4132.878472222223
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_A3.tif,4135.682638888889
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_B1.tif,4324.078472222222
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_B2.tif,4106.559722222222
A2780_20and30_untreated_Day13_250_TX RED_Tile-4_B3.tif,4117.296527777778
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A1.tif,4276.706944444445
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A2.tif,4219.705555555555
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_A3.tif,4216.982638888889
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_B1.tif,4221.230555555555
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_B2.tif,4098.615972222222
A2780_20and30_untreated_Day13_250_TX RED_Tile-5_B3.tif,4124.906944444444
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A1.tif,4211.504861111111
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A2.tif,4062.9375
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_A3.tif,4027.866666666667
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_B1.tif,4343.69375
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_B2.tif,3823.4
A2780_20and30_untreated_Day14_250_TX RED_Tile-0_B3.tif,3926.0263888888894
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A1.tif,4254.948611111111
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A2.tif,4109.612499999999
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_A3.tif,4111.601388888888
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_B1.tif,4275.4
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_B2.tif,3965.738888888889
A2780_20and30_untreated_Day14_250_TX RED_Tile-1_B3.tif,4072.813194444445
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A1.tif,4366.559027777777
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A2.tif,4275.515972222222
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_A3.tif,4219.698611111111
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_B1.tif,4387.326388888889
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_B2.tif,3987.125
A2780_20and30_untreated_Day14_250_TX RED_Tile-2_B3.tif,4258.827083333334
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A1.tif,4321.815972222223
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A2.tif,4074.183333333333
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_A3.tif,3942.750694444445
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_B1.tif,4145.677777777778
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_B2.tif,4124.432638888889
A2780_20and30_untreated_Day14_250_TX RED_Tile-3_B3.tif,4238.049305555555
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A1.tif,4380.233333333334
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A2.tif,4215.8125
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_A3.tif,4193.168750000001
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_B1.tif,4399.584722222222
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_B2.tif,4248.223611111111
A2780_20and30_untreated_Day14_250_TX RED_Tile-4_B3.tif,4312.497916666666
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_A1.tif,4359.352777777778
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_A2.tif,4101.201388888889
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_A3.tif,4294.730555555555
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_B1.tif,4299.582638888889
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_B2.tif,4038.7652777777776
A2780_20and30_untreated_Day14_250_TX RED_Tile-5_B3.tif,4208.061805555556
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_A1.tif,326.24791666666664
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_A2.tif,157.38333333333333
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_A3.tif,128.35555555555555
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_B1.tif,552.5854166666667
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_B2.tif,214.38472222222225
A2780_20and30_untreated_Day1_250_TX RED_Tile-0_B3.tif,128.5027777777778
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_A1.tif,231.0770833333333
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_A2.tif,162.60763888888889
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_A3.tif,101.57291666666669
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_B1.tif,180.9090277777778
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_B2.tif,122.87083333333334
A2780_20and30_untreated_Day1_250_TX RED_Tile-1_B3.tif,98.57569444444444
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_A1.tif,696.7583333333333
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_A2.tif,495.4187500000001
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_A3.tif,100.05138888888888
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_B1.tif,644.6083333333333
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_B2.tif,282.82916666666665
A2780_20and30_untreated_Day1_250_TX RED_Tile-2_B3.tif,156.7611111111111
A2780_20and30_untreated_Day1_250_TX RED_Tile-3_A1.tif,420.1652777777778
A2780_20and30_untreated_Day1_250_TX RED_Tile-3_A2.tif,271.86041666666665
A2780_20and30_untreated_Day1_250_TX RED_Tile-3_A3.tif,676.3625
A2780_20and30_untreated_Day1_250_TX RED_Tile-3_B1.tif,259.5986111111111
