source_group,source_file,density,mix_label,cell_line,model,parameter_name,parameter_value,sse,aic,bic,loss
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,20k,25-75,,competing_coculture,k,32101.554,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,20k,25-75,,competing_coculture,rr,1.8248417,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,20k,25-75,,competing_coculture,rs,2.1568115,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,20k,25-75,,competing_coculture,α,0.64479172,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,20k,25-75,,competing_coculture,β,0.10809344,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,20k,25-75,,option1_alpha_beta,αrs,0.17091663,,,223.92768,41718.791
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option1_params.csv,20k,25-75,,option1_alpha_beta,αsr,0.99990426,,,223.92768,41718.791
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,20k,25-75,,option2_alpha_beta_gamma_delta,αrs,0.0004012839,,,198.22717,14118.999
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,20k,25-75,,option2_alpha_beta_gamma_delta,αsr,0.0088927011,,,198.22717,14118.999
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,20k,25-75,,option2_alpha_beta_gamma_delta,γ,1.0780701,,,198.22717,14118.999
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_option2_params.csv,20k,25-75,,option2_alpha_beta_gamma_delta,δ,0.54319505,,,198.22717,14118.999
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,20k,50-50,,competing_coculture,k,59703.904,,,1987.2966,1e+30
simplemodels,D:/3_Research/CancerGrowthDynamics/Modelling Data Notebooks/SimpleModels/coculture_fit_params.csv,20k,50-50,,competing_coculture,rr,0.037344899,,,1987.2966,1e+30
