schedule,time_day,dose_uM,effective_exposure,A2780Naive,total_A2780cis,total
Optimized,0.0,0.0,0.0,33.5,33.5,67.0
Optimized,0.1,1.47,0.1902906719543006,36.49514227116838,33.53677819317267,70.03192046434106
Optimized,0.2,1.47,0.3559483236140864,39.74522182285847,33.66200999766515,73.40723182052362
Optimized,0.3,1.47,0.5001616855807818,43.26988264959138,33.87458640208992,77.1444690516813
Optimized,0.4,1.47,0.6257067090756635,47.08998698786512,34.17404909144753,81.26403607931265
Optimized,0.5,1.47,0.7349999999980993,51.22764837500201,34.56055546899967,85.78820384400169
Optimized,0.6,1.47,0.8301453359750625,55.70625891128413,35.034851292968995,90.74111020425312
Optimized,0.7,1.47,0.9129741618048373,60.5505095108894,35.598249939557554,96.14875945044696
Optimized,0.8,1.47,0.9850808427882503,65.786401822016,36.25261743658855,102.03901925860455
Optimized,0.9,1.47,1.0478533545358621,71.4412503965358,37.00036251691572,108.44161291345154
Optimized,1.0,1.47,1.1024999999973082,77.5436735979709,37.84443102139641,115.38810461936731
Optimized,1.1,1.47,1.1500726679860382,84.12357165750278,38.78830404070128,122.91187569820406
Optimized,1.2,1.47,1.1914870809011349,91.2120902255665,39.83599922592766,131.04808945149415
Optimized,1.3,1.47,1.2275404213929493,98.84156772632382,40.992074721800805,139.83364244812464
Optimized,1.4,1.47,1.2589266772667982,107.04546480934785,42.26163518471931,149.30709999406716
Optimized,1.5,1.47,1.2862499999975232,115.85827421292932,43.65033934228979,159.5086135552191
Optimized,1.6,1.47,1.310036333991866,125.31540941247731,45.1644085323859,170.4798179448632
Optimized,1.7,1.47,1.3307435404493784,135.45307053153564,46.81063562916086,182.2637061606965
Optimized,1.8,1.47,1.348770210695243,146.30808614777786,48.5963937218419,194.90447986961976
Optimized,1.9,1.47,1.3644633386321225,157.91772983736317,50.52964386063614,208.44737369799932
Optimized,2.0,1.47,1.3781249999974403,170.31951057287094,52.618941123955395,222.93845169682632
Optimized,2.1,1.1547276369092454,1.3492063371848557,183.55093642623115,54.87343819396521,238.42437462019637
Optimized,2.2,1.1547276369092454,1.324031178983595,197.6492514307747,57.302885555086995,254.9521369858617
Optimized,2.3,1.1547276369092454,1.3021149308304243,212.65114592587383,59.91762735487808,272.5687732807519
Optimized,2.4,1.1547276369092454,1.2830357286553495,228.59244124189732,62.72859189155555,291.3210331334529
Optimized,2.5,1.1547276369092454,1.2664263184546038,245.50775017750462,65.74727562078743,311.255025798292
Optimized,2.6,1.1547276369092454,1.251966987048062,263.3135290991733,68.98574429327738,332.2992733924507
Optimized,2.7,1.1547276369092454,1.239379407947498,281.2573137021966,72.45725985847363,353.71457356067026
Optimized,2.8,1.1547276369092454,1.2284212838709763,299.13828274864824,76.17660480974129,375.3148875583895
Optimized,2.9,1.1547276369092454,1.2188816827834994,316.88996562694024,80.15965470023642,397.0496203271767
Optimized,3.0,1.1547276369092454,1.2105769776831836,334.45321297322994,84.42341264308807,418.876625616318
Optimized,3.1,0.535403001625526,1.1231760868058958,356.5951553919346,88.98165630231296,445.57681169424757
Optimized,3.2,0.535403001625526,1.0470891920200316,379.7006982017287,93.84649799539646,473.5471961971252
Optimized,3.3,0.535403001625526,0.9808517029047042,403.77229079001313,99.03351372349266,502.8058045135058
Optimized,3.4,0.535403001625526,0.923188619444008,428.80884537561326,104.5584475335012,533.3672929091144
Optimized,3.5,0.535403001625526,0.8729899896558891,454.80555143955434,110.43709629208284,565.2426477316371
Optimized,3.6,0.535403001625526,0.8292895442171365,481.75371265959564,116.68517829142698,598.4388909510226
Optimized,3.7,0.535403001625526,0.7912460968241313,509.6406098527822,123.31818534008153,632.9587951928638
Optimized,3.8,0.535403001625526,0.7581273522664198,538.4493932787319,130.35121830326696,668.8006115819989
Optimized,3.9,0.535403001625526,0.7292958105360412,568.1590074276903,137.79880642479299,705.9578138524832
Optimized,4.0,0.535403001625526,0.7041964956419635,598.744151110053,145.67471118551418,744.4188622955672
Optimized,4.1,0.8150357637678105,0.7185445764652099,624.9868134471035,154.00177895070544,778.9885923978089
Optimized,4.2,0.8150357637678105,0.7310353063081018,651.5434953118626,162.8057121303075,814.34920744217
Optimized,4.3,0.8150357637678105,0.7419091182088072,678.3871398192497,172.1034757972997,850.4906156165493
Optimized,4.4,0.8150357637678105,0.751375321284139,705.4901031667621,181.91138967676625,887.4014928435283
Optimized,4.5,0.8150357637678105,0.7596161297036408,732.8241838385596,192.24494388997562,925.0691277285352
Optimized,4.6,0.8150357637678105,0.7667901701152495,760.3606581641254,203.11860302218267,963.4792611863081
Optimized,4.7,0.8150357637678105,0.7730355350366808,788.0703226945778,214.5455998565288,1002.6159225511067
Optimized,4.8,0.8150357637678105,0.7784724409870587,815.9235437152107,226.5377204986924,1042.4612642139032
Optimized,4.9,0.8150357637678105,0.7832055425248036,843.8903140682374,239.10508301644686,1082.9953970846843
Optimized,5.0,0.8150357637678105,0.7873259467346697,871.9403173159295,252.25591212611778,1124.1962294420473
Optimized,5.1,0.6729838378144194,0.7725244251437414,906.1119888617038,265.9732008354079,1172.0851896971117
Optimized,5.2,0.6729838378144194,0.7596389521851236,940.5695321192234,280.23072999961164,1220.800262118835
Optimized,5.3,0.6729838378144194,0.7484214964426669,975.2590805897681,295.01868889588576,1270.2777694856538
Optimized,5.4,0.6729838378144194,0.7386561340273275,1010.1257834660254,310.32359332540295,1320.4493767914282
Optimized,5.5,0.6729838378144194,0.730154892275869,1045.1141236813064,326.1281617403186,1371.242285421625
Optimized,5.6,0.6729838378144194,0.7227541314804264,1080.1682445073259,342.41123508468905,1422.5794795920149
Optimized,5.7,0.6729838378144194,0.7163113950011314,1115.2322809351713,359.14774528662696,1474.3800262217983
Optimized,5.8,0.6729838378144194,0.7107026671298449,1150.250691930301,376.3087365455838,1526.5594284758847
Optimized,5.9,0.6729838378144194,0.7058199859220676,1185.1685895822204,393.8614425653148,1579.0300321475352
Optimized,6.0,0.6729838378144194,0.7015693650461987,1219.9320611768603,411.7694217094718,1631.701482886332
Optimized,6.1,0.6231918495664188,0.6914234398174322,1255.6131096806266,429.9851831509629,1685.5982928315896
Optimized,6.2,0.6231918495664188,0.6825908988943747,1291.050045848951,448.4565275881823,1739.5065734371333
Optimized,6.3,0.6231918495664188,0.6749017254184773,1326.1892602719506,467.1351676210032,1793.3244278929537
Optimized,6.4,0.6231918495664188,0.668207911117753,1360.9793913074252,485.9702896836751,1846.9496809911002
Optimized,6.5,0.6231918495664188,0.6623806073075897,1395.3715927819276,504.90899675460514,1900.2805895365327
Optimized,6.6,0.6231918495664188,0.6573076446931004,1429.3197711973896,523.8967910091174,1953.216562206507
Optimized,6.7,0.6231918495664188,0.6528913742314337,1462.780790259207,542.878087626517,2005.6588778857238
Optimized,6.8,0.6231918495664188,0.6490467874933282,1495.714641152507,561.796750011688,2057.511391164195
Optimized,6.9,0.6231918495664188,0.6456998803428032,1528.0845776203685,580.5966360443882,2108.681213664757
