dose_uM,corrected_condition,source_folder,day,observed,sem,sensitive,latent_resistant,total
0.67,IC25,IC75,1.0,1.0,0.018708371238141286,1.0,0.0,1.0
0.67,IC25,IC75,2.0,1.5800693464636333,0.045395842726653805,1.5278687535848345,0.12961978711744152,1.6574885407022761
0.67,IC25,IC75,3.0,2.633052517262892,0.14721236474884528,1.8035553029420162,0.6367452347979841,2.44030053774
0.67,IC25,IC75,4.0,3.1982263613909288,0.22390757000635322,1.7379489683247935,1.5378170223968912,3.275765990721685
0.67,IC25,IC75,5.0,4.092300766463424,0.1599321044086913,1.4276260194934043,2.6647076098678166,4.092333629361221
0.67,IC25,IC75,6.0,4.891349467753974,0.471481998257101,1.0343199085530868,3.7995371970930942,4.833857105646181
0.67,IC25,IC75,7.0,5.706188805535585,0.276832167589184,0.6788830814405182,4.785781198961207,5.464664280401725
0.67,IC25,IC75,8.0,5.811081442106717,0.25174361525438554,0.41227641826148653,5.556163774322196,5.9684401925836825
0.67,IC25,IC75,9.0,6.34539080510689,0.32942217705244514,0.23552444707969994,6.1085140957059325,6.344038542785633
0.67,IC25,IC75,10.0,5.435984696102879,0.18766509184990088,0.12823354852044241,6.472223260221889,6.600456808742331
0.67,IC25,IC75,11.0,6.768383236291075,0.3825682360138929,0.06722659233855836,6.685079177533339,6.752305769871898
0.67,IC25,IC75,12.0,6.138900617259554,0.34117789016074435,0.03421048293819975,6.782151241044059,6.816361723982259
0.67,IC25,IC75,13.0,7.159877105565358,0.24358462788003685,0.017006425229403273,6.792275160556557,6.80928158578596
0.67,IC25,IC75,14.0,6.746349766058463,0.23654579267892806,0.008299871307149927,6.737994690932554,6.746294562239704
1.0,IC50,IC50,1.0,1.0,0.13053766944029946,1.0,0.0,1.0
1.0,IC50,IC50,2.0,1.8490225299665999,0.29351174689334686,1.837065956180521,0.018633540806751673,1.8556994969872727
1.0,IC50,IC50,3.0,2.923778562216135,0.3682093121283774,2.7956498848202616,0.09898576565173581,2.8946356504719972
1.0,IC50,IC50,4.0,3.869411818118343,0.49946080800750264,3.668772951953409,0.27209859558888316,3.9408715475422924
1.0,IC50,IC50,5.0,4.402387400086007,0.3773590698106146,4.285120144705404,0.5522002735049417,4.8373204182103455
1.0,IC50,IC50,6.0,5.498712814783067,0.3348990699047708,4.566726854085693,0.934081938384911,5.500808792470604
1.0,IC50,IC50,7.0,6.43695372532592,0.40710787467207454,4.528341539856665,1.3990818396223546,5.92742337947902
1.0,IC50,IC50,8.0,6.33035426692593,0.35299789914492313,4.242732510264609,1.923900985208637,6.1666334954732465
1.0,IC50,IC50,9.0,5.883655107240904,0.18064023563429793,3.8017129616115763,2.48764880506244,6.289361766674016
1.0,IC50,IC50,10.0,6.369776680499627,0.2042482795800498,3.2890752285995823,3.075509481382615,6.364584709982197
1.0,IC50,IC50,11.0,6.482914761950741,0.3672405100544452,2.768093275036915,3.6795262693184854,6.4476195443554
1.0,IC50,IC50,12.0,6.0060959050596985,0.05206056363075002,2.279595951338922,4.297710235491481,6.577306186830403
1.0,IC50,IC50,13.0,6.744317583933869,0.32872100366438867,1.8455139166084944,4.932532406509807,6.778046323118302
1.0,IC50,IC50,14.0,9.097266972808907,0.6388574945796619,1.4741504018940481,5.589445084737631,7.063595486631678
1.47,IC75,IC25,1.0,1.0,0.08915943219814446,1.0,0.0,1.0
1.47,IC75,IC25,2.0,1.4091736597949114,0.09483559596034805,1.3442708623968236,0.06497424979106967,1.4092451121878933
1.47,IC75,IC25,3.0,1.8934633460967367,0.1441746933627393,1.4772593909610519,0.2504143861521481,1.7276737771132
1.47,IC75,IC25,4.0,1.8187458893436321,0.13862825387306862,1.3854267598017405,0.47922496548091964,1.86465172528266
1.47,IC75,IC25,5.0,1.751838519206813,0.056895182739483886,1.1469815581223586,0.6560962260845852,1.8030777842069439
1.47,IC75,IC25,6.0,1.6859999477232293,0.088779400129837,0.8608555686646662,0.7297503951296254,1.5906059637942915
1.47,IC75,IC25,7.0,1.3301761408773922,0.0715766402530389,0.598128624602442,0.7030772592355161,1.301205883837958
1.47,IC75,IC25,8.0,1.0017578389921864,0.04323554505381123,0.39111036343944533,0.6098694299691285,1.0009797934085738
1.47,IC75,IC25,9.0,0.6609202891454401,0.032058374722221096,0.24381975971135833,0.4887032382437347,0.732522997955093
1.47,IC75,IC25,10.0,0.5147777933108381,0.051567986551679934,0.146395463191011,0.36839405371515044,0.5147895169061614
1.47,IC75,IC25,11.0,0.34994969403852383,0.03156024780360524,0.08534061408588152,0.2647373882915058,0.3500780023773873
1.47,IC75,IC25,12.0,0.22468699869023342,0.025496034054473406,0.048606127565631624,0.18318538550472943,0.23179151307036105
1.47,IC75,IC25,13.0,0.1685378395802452,0.02026405156524462,0.027182345937040362,0.12298540230125508,0.15016774823829546
1.47,IC75,IC25,14.0,0.08841611536644499,0.00817263648919923,0.014984337194303834,0.08058769759395104,0.09557203478825488
