dose_uM,corrected_condition,source_folder,parameter,retained,lower_95,median,upper_95
0.67,IC25,IC75,rS,1,0.5674343320884999,0.5674343320884999,0.5674343320884999
0.67,IC25,IC75,dS,1,0.5862498760819683,0.5862498760819683,0.5862498760819683
0.67,IC25,IC75,alpha,1,0.8879886842244921,0.8879886842244921,0.8879886842244921
0.67,IC25,IC75,rR,1,0.5491796658697394,0.5491796658697394,0.5491796658697394
0.67,IC25,IC75,dR,1,0.5862498760819683,0.5862498760819683,0.5862498760819683
1.0,IC50,IC50,rS,4,0.7195287781431106,0.7215837033529207,0.7388782294142013
1.0,IC50,IC50,dS,4,0.8870593921484468,0.8903311012074289,0.9358514276761044
1.0,IC50,IC50,alpha,4,0.10324406835603547,0.11771502739284156,0.12891716510047752
1.0,IC50,IC50,rR,4,0.08884645824328026,0.09732847149094086,0.10964213696303735
1.0,IC50,IC50,dR,4,0.005968219521917945,0.0066892993959712,0.008083152962054358
1.47,IC75,IC25,rS,3,0.41106492946728046,0.4162925412932833,0.41745949837194785
1.47,IC75,IC25,dS,3,0.5450037594974513,0.6088330904309887,0.6377354076709236
1.47,IC75,IC25,alpha,3,0.36845106562748187,0.4228623485379566,0.5714664658252822
1.47,IC75,IC25,rR,3,0.034434890838639744,0.037062112023108634,0.04123287165417274
1.47,IC75,IC25,dR,3,0.5450037594974513,0.6088330904309887,0.6129359483146444
