model,stage_winner,BIC,delta_BIC,free_parameters,eligible,boundary,endpoints_inside_95CI,endpoints_tested,coverage,mean_relative_endpoint_error
strobl_birth_capacity_cost_turnover,false,-830.0236143710536,315.73427015084576,5,false,true,5,12,0.4166666666666667,0.15234739260686622
strobl_birth_growth_cost_turnover,false,-974.0200298273219,171.73785469457744,5,false,false,5,12,0.4166666666666667,0.17887698930397666
subpopulation_load_scaled,false,-1071.5118350490654,74.24604947283387,14,true,false,5,12,0.4166666666666667,0.25033739534999216
strobl_density_dependent_death,false,-920.4612035949673,225.29668092693203,5,false,true,4,12,0.3333333333333333,0.22419140751991695
strobl_birth_growth_cost_only,false,-954.8399704831609,190.91791403873845,4,false,true,4,12,0.3333333333333333,0.2462558543255768
load_plus_context_amplitude,false,-1058.4555164104825,87.30236811141685,15,true,false,4,12,0.3333333333333333,0.24770358709284088
load_scaled,false,-1099.4461438044189,46.31174071748046,13,true,false,4,12,0.3333333333333333,0.25967810730141816
strobl_birth_death_cost_turnover,false,-930.0158276650993,215.7420568568,5,false,false,3,12,0.25,0.17209941270603776
load_plus_tolerant_context,true,-1145.7578845218993,0.0,15,true,true,3,12,0.25,0.2867883946233755
fully_free_context_diagnostic,false,-1066.9634342653,78.79445025659925,22,false,false,2,12,0.16666666666666666,0.3160616130308204
competitor_scaled,false,-1030.554114462383,115.20377005951627,13,true,false,2,12,0.16666666666666666,0.32378380380920496
load_plus_tolerant_growth_context,false,-1074.2941676164467,71.46371690545266,16,true,false,1,12,0.08333333333333333,0.322357214924184
strict_inheritance,false,-971.2095756380996,174.54830888379968,11,true,false,1,12,0.08333333333333333,0.3831446320595045
tolerant_context_shift,false,-943.3774708909655,202.38041363093384,13,true,false,0,12,0.0,0.45169013302911626
strobl_birth_no_cost_no_turnover,false,-576.4272860761548,569.3305984457445,3,false,true,0,12,0.0,0.5567420441991877
strobl_birth_turnover_only,false,-741.83417152059,403.92371300130935,4,false,false,0,12,0.0,0.5580266251268365
