route,model,pooling_mode,bic,raw_sse,scaled_sse,n_parameters,n_points,inherited_stage,fitted_stage,boundary_issue,params,delta_bic,rank
Stage 1 -> Stage 3 -> Stage 4,dual_transit_load_scaled,partial_5pct,-591.031803944551,1.849858598073274e7,3.903678222423163,8,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant, :log_contrast_density], values = [0.5963414152152218, 2.4046172016246923e-8, 0.44645416399067145, 6.550336078187509e-13, 0.4860456636209255, -2.9999999999994387, -2.9999999999994387, -0.048790162557163966], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",0.0,1
Stage 1 -> Stage 3 -> Stage 4,dual_time_decay_kill,partial_5pct,-572.0712285389752,2.5390259001159668e7,4.9371041401977,4,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :log_contrast_density], values = [0.31397156860104336, 3.7430491875357195e-13, 0.08401853006172758, -0.04879016333679465], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",18.96057540557581,2
Stage 1 -> Stage 3 -> Stage 4,dual_transit_load_scaled,shared,-563.8585796883903,2.1528650722096324e7,4.731131590047077,7,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant], values = [0.6188113850329487, 3.7430491875357195e-13, 0.37665022061900055, 6.550336078187509e-13, 0.6301601263411168, -2.9999998181750747, -2.256039769073672], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",27.17322425616078,3
Stage 1 -> Stage 3 -> Stage 4,dual_constant_kill,partial_5pct,-563.8534993151999,2.849742276888401e7,5.345172373118104,3,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :log_contrast_density], values = [0.18614270635760247, 2.8072868906517895e-13, -0.048790161335041035], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",27.178304629351146,4
Stage 1 -> Stage 3 -> Stage 4,dual_time_decay_kill,shared,-559.4895384205089,2.719552991815414e7,5.485837389481923,3,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :lambda], values = [0.29694984233816685, 1.1672270610403515e-9, 0.07443883655147043], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",31.542265524042136,5
Stage 1 -> Stage 3 -> Stage 4,dual_constant_kill,shared,-554.8495235045251,2.982295740265856e7,5.814115530776844,2,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant], values = [0.18642329358457146, 1.2398114932263886e-10], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",36.18228044002592,6
Stage 1 -> Stage 3 -> Stage 4,dual_transit_damage,partial_5pct,-554.7811491099641,2.3969492970646873e7,5.148454235373827,6,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :log_contrast_density], values = [0.2203921978509015, 3.7430491875357195e-13, 4.999999999999534, 6.550336078187509e-13, 0.8669977143618826, -0.04879015821177174], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",36.25065483458695,7
Stage 1 -> Stage 3 -> Stage 4,dual_transit_competitor_scaled,partial_5pct,-554.7423730967537,2.273428138922136e7,4.844905592351157,8,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :clearance, :beta_sensitive, :beta_resistant, :log_contrast_density], values = [0.2935399698464941, 3.7430491875357195e-13, 4.999988545099586, 6.550336078187509e-13, 0.6038198403129291, -2.1988441146876996, 2.999995049496995, -0.048790138669011135], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",36.28943084779735,8
Stage 1 -> Stage 3 -> Stage 4,sensitive_tolerant_transition,partial_5pct,-554.4945006252609,2.660028551292898e7,5.002325861323211,7,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_tolerant, :kill_resistant, :lambda, :onset, :transition, :log_contrast_density], values = [3.999999999999626, 0.302618057479195, 3.7430491875357195e-13, 0.031372410472576225, 1.1174662499920271, 0.04735953930359625, -0.04878730210903297], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",36.53730331929012,9
Stage 1 -> Stage 3 -> Stage 4,dual_delayed_ramp_kill,partial_5pct,-552.8505819357526,2.8681902551979005e7,5.36924755192035,5,168,Stage 3 asymmetric competition with lineage-specific loss fixed from untreated coculture,Stage 4 treatment-response terms,true,"(names = [:kill_sensitive, :kill_resistant, :lambda, :onset, :log_contrast_density], values = [0.18799397610655014, 3.7430491875357195e-13, 4.999999999967813, 6.550336078187509e-13, -0.04879016248630703], package_api = ""GrowthParameterEstimation.profile_joint_fit_bounds/run_joint_fit"")",38.181222008798386,10
