cell_line,density,stage,n_wells,median_cv,fit_within_one_sd,positive_wells,flat_wells,negative_wells,mean_late_slope,predicted_late_slope,direction_consensus,dose,mix,component
A2780Naive,20k,Stage 1,3,0.10538725103598955,0.7857142857142857,3,0,0,68.36225703333326,11.893470102526408,1.0,,,
A2780Naive,30k,Stage 1,3,0.08942166534308565,0.6428571428571429,3,0,0,108.6706481,11.835490559526898,1.0,,,
A2780cis,20k,Stage 1,3,0.13299328779489658,0.4375,1,2,0,33.816358390804595,0.0,0.6666666666666666,,,
A2780cis,30k,Stage 1,3,0.0728232410296662,0.375,0,2,1,-17.287767732758645,-3.481868823044466e-29,0.6666666666666666,,,
A2780Naive,20k,Stage 2,3,0.09956842088513757,0.14285714285714285,3,0,0,230.62237653333332,9.695453408534513,1.0,0.67,,
A2780Naive,20k,Stage 2,3,0.07845084916723413,0.5,3,0,0,224.78065963333333,-3.6107240080514202,1.0,1.0,,
A2780Naive,20k,Stage 2,3,0.23505148211241472,0.5,0,0,3,-47.5258797,-38.88320117183507,1.0,1.47,,
A2780Naive,30k,Stage 2,3,0.07953202708582896,0.6428571428571429,3,0,0,152.8708449333334,8.378319572711735,1.0,0.67,,
A2780Naive,30k,Stage 2,3,0.10751741667827847,0.5714285714285714,3,0,0,158.45759643333332,-6.682573913801025,1.0,1.0,,
A2780Naive,30k,Stage 2,3,0.1319521943997872,0.21428571428571427,0,0,3,-70.64125763333334,-44.29611183321071,1.0,1.47,,
A2780cis,20k,Stage 2,3,0.11302113358159913,0.21428571428571427,2,1,0,76.53011193333333,56.83095806470724,0.6666666666666666,0.67,,
A2780cis,20k,Stage 2,3,0.05139625058542288,0.07142857142857142,3,0,0,194.06873076666668,140.7389629774428,1.0,1.0,,
A2780cis,20k,Stage 2,3,0.0647207976034302,0.21428571428571427,3,0,0,310.8665354666667,170.12954200129406,1.0,1.47,,
A2780cis,30k,Stage 2,3,0.05884999768064132,0.35714285714285715,3,0,0,120.68812496666665,36.05778071763784,1.0,0.67,,
A2780cis,30k,Stage 2,3,0.08561633139064925,0.42857142857142855,3,0,0,258.40641203333337,69.82568339814252,1.0,1.0,,
A2780cis,30k,Stage 2,3,0.07519361061455108,0.2857142857142857,3,0,0,324.3740239666667,84.59209063067605,1.0,1.47,,
,20k,Stage 3,3,0.21146537652069758,0.42857142857142855,0,1,2,-26.154000000000014,-92.37957185496387,0.6666666666666666,,25-75,resistant
,20k,Stage 3,3,0.07856856720952338,0.14285714285714285,3,0,0,155.66,124.60677355594058,1.0,,25-75,sensitive
,20k,Stage 3,3,0.19348776047618987,0.42857142857142855,0,0,3,-49.24199999999999,-44.32441104819584,1.0,,50-50,resistant
,20k,Stage 3,3,0.13422814151457635,0.42857142857142855,3,0,0,150.71833333333333,71.22594499280167,1.0,,50-50,sensitive
,20k,Stage 3,3,0.0864428419259472,0.2857142857142857,0,0,3,-28.354333333333333,-14.022528888999977,1.0,,75-25,resistant
,20k,Stage 3,3,0.0778134628766059,0.21428571428571427,3,0,0,128.90666666666667,43.79283226545185,1.0,,75-25,sensitive
,30k,Stage 3,3,0.1067713431445664,0.07142857142857142,0,0,3,-85.55133333333332,-113.44612366834845,1.0,,25-75,resistant
,30k,Stage 3,3,0.21010343847405777,0.5714285714285714,3,0,0,84.97166666666668,120.2921074251082,1.0,,25-75,sensitive
,30k,Stage 3,3,0.13413776949459372,0.21428571428571427,0,0,3,-59.41833333333333,-69.86787147838022,1.0,,50-50,resistant
,30k,Stage 3,3,0.09395725886453217,0.35714285714285715,2,1,0,80.16033333333333,80.94299268468986,0.6666666666666666,,50-50,sensitive
,30k,Stage 3,3,0.0982654043782872,0.2857142857142857,0,0,3,-37.929798449612406,-31.161078499825486,1.0,,75-25,resistant
,30k,Stage 3,3,0.11051528070199797,0.5,3,0,0,99.52369369369369,50.856155550986884,1.0,,75-25,sensitive
,20k,Stage 4,6,0.24591091579300103,0.7142857142857143,0,1,5,-211.335,-52.643138329166234,0.8333333333333334,,25-75,resistant
,20k,Stage 4,6,0.37524114925129015,0.35714285714285715,1,4,1,32.33383333333333,64.18388197115745,0.6666666666666666,,25-75,sensitive
,20k,Stage 4,6,0.1739997145352853,0.7857142857142857,0,2,4,-109.85683333333331,-45.36419863647084,0.6666666666666666,,50-50,resistant
,20k,Stage 4,6,0.1715629795692834,0.2857142857142857,1,1,4,-85.6665,74.67222755730468,0.6666666666666666,,50-50,sensitive
,20k,Stage 4,6,0.2857078644123413,0.6428571428571429,4,2,0,87.08,18.668121686917107,0.6666666666666666,,75-25,resistant
,20k,Stage 4,6,0.3298941319789155,0.7142857142857143,0,0,6,-173.64933333333337,65.45898462027886,1.0,,75-25,sensitive
,30k,Stage 4,6,0.18461996156669264,0.5,3,2,1,36.92349999999996,-40.161017744529815,0.5,,25-75,resistant
,30k,Stage 4,6,0.4224395383669383,0.8571428571428571,6,0,0,158.75516666666667,37.775406698376045,1.0,,25-75,sensitive
,30k,Stage 4,6,0.20848376391721807,0.2857142857142857,4,0,2,79.19883333333333,-41.0088149459455,0.6666666666666666,,50-50,resistant
,30k,Stage 4,6,0.23098319824990243,0.42857142857142855,3,3,0,76.88266666666668,45.67931479336264,0.5,,50-50,sensitive
,30k,Stage 4,6,0.2830514895505614,0.2857142857142857,5,1,0,142.83500000000004,-3.7034242689373515,0.8333333333333334,,75-25,resistant
,30k,Stage 4,6,0.27899745956340194,0.8571428571428571,0,2,4,-74.03800000000004,40.57696329968776,0.6666666666666666,,75-25,sensitive
